,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
642,F,0.59,0.45,0.16,0.9,0.358,0.156,0.315,19
1921,M,0.605,0.47,0.18,1.1155,0.479,0.2565,0.321,10
2360,F,0.545,0.44,0.175,0.7745,0.2985,0.1875,0.265,11
1195,F,0.705,0.55,0.17,1.219,0.6395,0.236,0.301,9
392,F,0.47,0.375,0.125,0.5615,0.252,0.137,0.18,10
2764,I,0.55,0.465,0.15,0.936,0.481,0.174,0.2435,9
2003,I,0.375,0.28,0.08,0.226,0.105,0.047,0.065,6
462,I,0.24,0.185,0.07,0.0715,0.026,0.018,0.025,6
2922,M,0.6,0.465,0.165,1.0475,0.465,0.2345,0.315,11
1234,I,0.375,0.29,0.095,0.213,0.096,0.041,0.061,5
3867,F,0.5,0.39,0.13,0.6355,0.2505,0.1635,0.195,15
1976,M,0.695,0.545,0.185,1.5715,0.6645,0.3835,0.4505,13
2864,I,0.31,0.23,0.07,0.1245,0.0505,0.0265,0.038,6
3881,F,0.565,0.455,0.13,1.058,0.439,0.2645,0.3,10
2776,M,0.585,0.465,0.165,0.885,0.4025,0.1625,0.274,10
1838,I,0.415,0.31,0.095,0.311,0.1125,0.0625,0.115,8
3992,M,0.7,0.6,0.23,2.003,0.8105,0.4045,0.5755,10
2207,M,0.42,0.34,0.115,0.4215,0.175,0.093,0.135,8
1517,F,0.665,0.515,0.18,1.389,0.5945,0.324,0.395,10
2667,F,0.585,0.45,0.15,0.938,0.467,0.203,0.225,7
2421,I,0.52,0.415,0.16,0.595,0.2105,0.142,0.26,15
1518,M,0.67,0.545,0.2,1.7025,0.833,0.374,0.41,11
424,I,0.26,0.2,0.07,0.092,0.037,0.02,0.03,6
3060,M,0.63,0.515,0.175,1.1955,0.492,0.247,0.37,11
2687,M,0.63,0.51,0.175,1.3415,0.6575,0.262,0.375,10
3529,I,0.36,0.265,0.075,0.1785,0.0785,0.035,0.054,6
2076,F,0.6,0.47,0.19,1.1345,0.492,0.2595,0.3375,10
