,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
649,F,0.475,0.36,0.125,0.447,0.1695,0.081,0.14,9
422,F,0.49,0.39,0.135,0.5785,0.2465,0.123,0.2,13
1900,M,0.575,0.45,0.155,0.9765,0.495,0.2145,0.235,9
163,F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,18
2058,M,0.485,0.39,0.135,0.617,0.25,0.1345,0.1635,8
675,F,0.52,0.395,0.18,0.64,0.158,0.11,0.245,22
1112,F,0.52,0.46,0.15,1.019,0.523,0.1985,0.254,7
787,M,0.495,0.385,0.135,0.709,0.211,0.1375,0.262,12
83,M,0.595,0.475,0.16,1.3175,0.408,0.234,0.58,21
3585,M,0.625,0.485,0.16,1.2135,0.631,0.2235,0.302,9
1918,F,0.6,0.465,0.16,1.133,0.466,0.2885,0.298,11
2976,I,0.43,0.345,0.115,0.4295,0.212,0.108,0.109,8
1124,F,0.55,0.43,0.15,0.84,0.395,0.195,0.223,8
2729,I,0.405,0.305,0.1,0.268,0.1145,0.053,0.085,7
1954,F,0.64,0.485,0.185,1.4195,0.6735,0.3465,0.3255,11
1957,F,0.645,0.52,0.21,1.5535,0.616,0.3655,0.474,16
441,I,0.335,0.26,0.1,0.192,0.0785,0.0585,0.07,8
177,I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8
3066,F,0.64,0.5,0.15,1.2015,0.559,0.231,0.3355,9
2788,F,0.615,0.46,0.15,1.0265,0.4935,0.201,0.2745,10
2203,M,0.615,0.48,0.19,1.36,0.5305,0.2375,0.47,18
197,M,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,16
957,M,0.5,0.39,0.135,0.6595,0.3145,0.1535,0.1565,6
1854,I,0.495,0.375,0.14,0.494,0.181,0.0975,0.191,8
822,I,0.38,0.275,0.095,0.1375,0.086,0.0585,0.0605,7
2238,I,0.46,0.335,0.11,0.444,0.225,0.0745,0.11,8
298,M,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,11
3443,I,0.485,0.37,0.1,0.513,0.219,0.1075,0.13,7
591,F,0.37,0.29,0.115,0.25,0.111,0.057,0.075,9
389,I,0.465,0.375,0.12,0.471,0.222,0.119,0.14,9
445,F,0.56,0.455,0.19,0.714,0.283,0.129,0.275,9
705,M,0.415,0.325,0.14,0.417,0.1535,0.1015,0.144,10
3696,M,0.65,0.525,0.205,1.4275,0.69,0.306,0.4355,13
1944,F,0.635,0.52,0.165,1.3405,0.5065,0.296,0.412,11
1340,M,0.585,0.465,0.155,0.9145,0.4555,0.1965,0.235,9
3035,I,0.55,0.405,0.15,0.6755,0.3015,0.1465,0.21,10
2308,M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11
4093,M,0.63,0.485,0.18,1.2435,0.5175,0.308,0.37,11
2440,M,0.465,0.355,0.125,0.5255,0.2025,0.135,0.145,13
2836,M,0.58,0.445,0.16,0.984,0.49,0.201,0.27,9
2722,I,0.375,0.275,0.095,0.2295,0.095,0.0545,0.066,7
198,M,0.56,0.45,0.16,0.922,0.432,0.178,0.26,15
1237,I,0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775,6
789,F,0.6,0.465,0.165,0.8875,0.309,0.246,0.262,12
3654,I,0.53,0.42,0.14,0.6765,0.256,0.1855,0.208,9
4103,M,0.7,0.545,0.215,1.9125,0.8825,0.4385,0.506,10
2468,F,0.37,0.275,0.08,0.227,0.093,0.0625,0.07,8
2761,I,0.55,0.425,0.145,0.89,0.4325,0.171,0.236,10
1699,I,0.635,0.5,0.165,1.489,0.715,0.3445,0.3615,13
3043,M,0.575,0.445,0.14,0.737,0.325,0.1405,0.237,10
1735,M,0.67,0.52,0.165,1.39,0.711,0.2865,0.3,11
4172,F,0.565,0.45,0.165,0.887,0.37,0.239,0.249,11
1077,I,0.42,0.32,0.11,0.3625,0.174,0.0635,0.105,7
1225,I,0.345,0.255,0.085,0.2005,0.105,0.037,0.05,5
1504,F,0.635,0.505,0.145,1.1345,0.505,0.2655,0.315,10
3513,F,0.66,0.5,0.175,1.3275,0.556,0.2805,0.4085,9
997,M,0.59,0.47,0.16,1.206,0.479,0.2425,0.309,8
989,M,0.575,0.475,0.16,1.114,0.4955,0.2745,0.29,9
747,M,0.52,0.385,0.14,0.6595,0.2485,0.2035,0.16,9
1638,I,0.575,0.445,0.17,0.8015,0.3475,0.1465,0.25,9
2441,M,0.54,0.415,0.17,0.879,0.339,0.208,0.255,10
2988,M,0.555,0.425,0.15,0.873,0.4625,0.1845,0.1965,9
1578,I,0.495,0.37,0.125,0.4715,0.2075,0.091,0.15,8
1664,I,0.605,0.47,0.145,0.8025,0.379,0.2265,0.22,9
3548,F,0.495,0.37,0.12,0.594,0.28,0.11,0.1375,7
440,I,0.36,0.275,0.11,0.2335,0.095,0.0525,0.085,10
185,M,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13
623,F,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,17
1541,I,0.36,0.275,0.075,0.2205,0.0985,0.044,0.066,7
2195,I,0.26,0.215,0.08,0.099,0.037,0.0255,0.045,5
1094,I,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142,6
3547,I,0.48,0.355,0.125,0.494,0.2385,0.0835,0.15,9
2338,M,0.655,0.485,0.195,1.62,0.6275,0.358,0.485,17
522,I,0.365,0.26,0.115,0.218,0.0935,0.0445,0.07,9
3442,M,0.48,0.37,0.13,0.643,0.349,0.1155,0.135,8
76,M,0.595,0.475,0.14,0.944,0.3625,0.189,0.315,9
2508,I,0.415,0.315,0.105,0.33,0.1405,0.0705,0.095,6
3552,I,0.525,0.39,0.105,0.567,0.2875,0.1075,0.16,8
118,F,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9
1992,I,0.29,0.21,0.07,0.1115,0.048,0.0205,0.03,5
1493,I,0.615,0.475,0.13,0.8425,0.353,0.1915,0.251,8
3092,M,0.51,0.395,0.125,0.5805,0.244,0.1335,0.188,11
1157,F,0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,9
209,I,0.37,0.28,0.095,0.2655,0.122,0.052,0.08,7
1478,M,0.575,0.465,0.15,1.08,0.595,0.2065,0.238,9
3562,F,0.57,0.42,0.16,0.8875,0.4315,0.1915,0.223,8
1908,M,0.575,0.475,0.145,0.857,0.3665,0.173,0.269,9
596,F,0.55,0.43,0.14,0.7135,0.2565,0.186,0.225,9
4156,M,0.475,0.37,0.11,0.4895,0.2185,0.107,0.146,8
352,M,0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,12
695,I,0.315,0.23,0.09,0.1285,0.043,0.04,0.04,7
1024,F,0.645,0.5,0.155,1.2205,0.6145,0.236,0.3185,10
