,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
0,M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15
9,F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19
12,M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11
16,I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7
21,I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10
22,F,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12
26,F,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11
27,M,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12
32,M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18
33,F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19
35,M,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,8
39,M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9
40,F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9
45,I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7
50,I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8
52,M,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10
53,F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10
54,M,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7
55,F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8
58,I,0.245,0.19,0.06,0.086,0.042,0.014,0.025,4
60,M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7
63,M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7
66,F,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12
71,F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8
72,F,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20
74,F,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13
75,F,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15
79,F,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14
