,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class,estimatedOutput,lossValue,testID,learningRate,numHiddenNodesPercentage
3,0.0110803324099723,0.491869918699187,0.49206349206349204,0.125,0.15384615384615385,0.18181818181818182,172,235.99398447566767,4095.2300490719954,1,0.001,0.5
4,0.0110803324099723,0.491869918699187,0.23809523809523808,0.125,0.15384615384615385,0.09090909090909091,132,192.72144049650836,3687.093335971006,1,0.001,0.5
5,0.008310249307479225,0.491869918699187,0.49206349206349204,0.25,0.15384615384615385,0.18181818181818182,318,236.63077330731744,6620.951052565164,1,0.001,0.5
9,0.00554016620498615,2.016260162601626,1.0,0.5,0.6153846153846154,0.36363636363636365,1144,291.96064340649997,725971.0651842656,1,0.001,0.5
12,0.03970452446906741,0.11077235772357724,0.1111111111111111,0.25390625,0.019230769230769232,0.045454545454545456,92,64.95568567227892,731.3949374565798,1,0.001,0.5
13,0.030470914127423823,0.23780487804878048,0.23809523809523808,0.25390625,0.019230769230769232,0.045454545454545456,138,148.75845545595135,115.74436379768936,1,0.001,0.5
14,0.3074792243767313,-0.012195121951219513,-0.014857142857142857,0.0,0.019230769230769232,0.022727272727272728,10,64.95540354300596,3020.0963785746317,1,0.001,0.5
15,0.16897506925207756,0.016260162601626018,0.23809523809523808,0.0,0.07692307692307693,0.18181818181818182,35,64.95540354301582,897.3262014249248,1,0.001,0.5
19,0.08587257617728532,0.3013211382113821,0.06349206349206349,0.5546875,0.15384615384615385,0.36363636363636365,120,155.12853230152803,1234.013781659498,1,0.001,0.5
20,0.11634349030470914,0.07901422764227642,0.08412698412698413,0.0,0.09615384615384616,0.18181818181818182,30,64.95540354300732,1221.8802368544889,1,0.001,0.5
21,0.11634349030470914,0.18064024390243902,0.08253968253968254,0.0,0.09615384615384616,0.11363636363636363,33,64.95540354310927,1021.1478156029605,1,0.001,0.5
22,0.11634349030470914,0.12982723577235772,0.08253968253968254,0.0,0.11538461538461539,0.36363636363636365,61,64.9554035447175,15.64521720156375,1,0.001,0.5
26,0.27977839335180055,0.0,0.07936507936507936,0.0,0.019230769230769232,0.03409090909090909,33,64.95540354300596,1021.1478155963576,1,0.001,0.5
28,0.27977839335180055,0.016260162601626018,0.06349206349206349,0.015625,0.019230769230769232,0.028409090909090908,77,64.95540354300596,145.07230381183345,1,0.001,0.5
31,0.007386888273314866,0.06694613821138211,0.025714285714285714,0.51171875,0.23076923076923078,0.13636363636363635,368,150.29053674772683,47397.41038959288,1,0.001,0.5
36,0.030470914127423823,0.015497967479674796,0.015873015873015872,0.03125,0.019230769230769232,0.022727272727272728,20,64.95540354300596,2020.9883077145125,1,0.001,0.5
39,0.030470914127423823,0.04725609756097561,0.047619047619047616,0.03125,0.057692307692307696,0.028409090909090908,26,64.95540354300599,1517.5234651984433,1,0.001,0.5
40,0.030470914127423823,0.04725609756097561,0.1111111111111111,0.03125,0.057692307692307696,0.028409090909090908,36,64.95540354300653,838.4153943383549,1,0.001,0.5
43,0.030470914127423823,0.11077235772357724,0.23809523809523808,0.03125,0.057692307692307696,0.03409090909090909,60,64.95540355107883,24.556024354044688,1,0.001,0.5
48,0.27977839335180055,0.016260162601626018,0.1111111111111111,0.015625,0.019230769230769232,0.028409090909090908,40,64.95540354300596,622.7721659942742,1,0.001,0.5
50,0.6306555863342567,0.008130081300813009,0.1111111111111111,0.0,0.019230769230769232,0.005681818181818182,24,64.95540354300596,1677.3450793704649,1,0.001,0.5
