,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,Class,leafDecisionNode,leafParentNode,classPrediction,success,treeID
2,7,4,10,6,90.6,43.7,686.9,6.7,14.6,33.0,1.3,0.0,0.0,6,0,1.462225694538935,2.138103981769871,1
4,8,6,3,7,89.3,51.3,102.2,9.6,11.4,99.0,1.8,0.0,0.0,68,18,0.0,0.0,1
7,8,6,8,1,91.5,145.4,608.2,10.7,8.0,86.0,2.2,0.0,0.0,4,0,0.8510471509085622,0.724281253069581,1
10,7,5,9,6,92.5,88.0,698.6,7.1,17.8,51.0,7.2,0.0,0.0,1,0,1.080507849878369,1.1674972136487758,1
14,6,5,9,3,92.9,133.3,699.6,9.2,26.4,21.0,4.5,0.0,0.0,1,0,1.080507849878369,1.1674972136487758,1
16,5,5,3,6,91.7,35.8,80.8,7.8,15.1,27.0,5.4,0.0,0.0,21,3,1.6118716726545914,2.5981302891063103,1
18,6,4,3,3,89.2,27.9,70.8,6.3,15.9,35.0,4.0,0.0,0.0,22,3,1.8794650496471603,3.532388872845203,1
19,6,4,4,6,86.3,27.4,97.1,5.1,9.3,44.0,4.5,0.0,0.0,8,0,1.9606023529641248,3.8439615864484624,1
23,7,4,8,6,90.2,110.9,537.4,6.2,19.5,43.0,5.8,0.0,0.0,4,0,0.8510471509085622,0.724281253069581,1
26,7,4,9,5,92.4,117.9,668.0,12.2,19.0,34.0,5.8,0.0,0.0,1,0,1.080507849878369,1.1674972136487758,1
32,6,3,9,5,88.6,69.7,706.8,5.8,20.6,37.0,1.8,0.0,0.0,1,0,1.080507849878369,1.1674972136487758,1
33,6,3,9,7,91.7,75.6,718.3,7.8,17.7,39.0,3.6,0.0,0.0,1,0,1.080507849878369,1.1674972136487758,1
37,7,4,10,5,90.0,41.5,682.6,8.7,11.3,60.0,5.4,0.0,0.0,6,0,1.462225694538935,2.138103981769871,1
41,4,4,8,6,90.2,96.9,624.2,8.9,18.4,42.0,6.7,0.0,0.0,4,0,0.8510471509085622,0.724281253069581,1
43,4,4,9,6,92.5,88.0,698.6,7.1,19.6,48.0,2.7,0.0,0.0,1,0,1.080507849878369,1.1674972136487758,1
44,4,4,9,3,90.1,82.9,735.7,6.2,12.9,74.0,4.9,0.0,0.0,1,0,1.080507849878369,1.1674972136487758,1
46,5,6,9,1,90.9,126.5,686.5,7.0,14.7,70.0,3.6,0.0,0.0,1,0,1.080507849878369,1.1674972136487758,1
47,6,6,7,1,94.2,62.3,442.9,11.0,23.0,36.0,3.1,0.0,0.0,7,0,0.7352978021627031,0.5406628578653017,1
48,4,4,3,1,87.2,23.9,64.7,4.1,11.8,35.0,1.8,0.0,0.0,16,3,1.5187430508650597,2.306580454550909,1
50,4,4,9,4,92.9,137.0,706.4,9.2,20.8,17.0,1.3,0.0,0.0,1,0,1.080507849878369,1.1674972136487758,1
52,4,3,8,3,92.1,111.2,654.1,9.6,20.4,42.0,4.9,0.0,0.0,4,0,0.8510471509085622,0.724281253069581,1
53,4,3,8,3,92.1,111.2,654.1,9.6,20.4,42.0,4.9,0.0,0.0,4,0,0.8510471509085622,0.724281253069581,1
57,4,3,10,7,92.6,46.5,691.8,8.8,13.8,50.0,2.7,0.0,0.0,6,0,1.462225694538935,2.138103981769871,1
58,2,2,2,1,84.0,9.3,34.0,2.1,13.9,40.0,5.4,0.0,0.0,61,15,2.394252281519869,5.732443987563098,1
60,2,2,3,7,89.3,51.3,102.2,9.6,11.5,39.0,5.8,0.0,0.0,68,18,0.0,0.0,1
61,2,2,3,7,89.3,51.3,102.2,9.6,5.5,59.0,6.3,0.0,0.0,68,18,0.0,0.0,1
65,2,2,8,4,91.7,114.3,661.3,6.3,18.6,44.0,4.5,0.0,0.0,4,0,0.8510471509085622,0.724281253069581,1
66,2,2,9,5,92.4,117.9,668.0,12.2,23.0,37.0,4.5,0.0,0.0,1,0,1.080507849878369,1.1674972136487758,1
70,4,5,3,5,91.2,48.3,97.8,12.5,15.8,27.0,7.6,0.0,0.0,69,19,1.2612978709452054,1.590872319250908,1
73,5,4,8,2,88.8,147.3,614.5,9.0,17.3,43.0,4.5,0.0,0.0,4,0,0.8510471509085622,0.724281253069581,1
74,5,4,9,5,93.3,141.2,713.9,13.9,27.6,30.0,1.3,0.0,0.0,1,0,1.080507849878369,1.1674972136487758,1
