,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
1252,I,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,7
2319,F,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205,15
522,I,0.365,0.26,0.115,0.218,0.0935,0.0445,0.07,9
625,F,0.525,0.405,0.16,0.658,0.2655,0.1125,0.225,12
122,F,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14
679,F,0.37,0.275,0.1,0.2225,0.093,0.026,0.08,8
2479,F,0.5,0.44,0.155,0.742,0.2025,0.2005,0.2115,14
2263,F,0.62,0.51,0.15,1.456,0.581,0.2875,0.32,13
2859,F,0.72,0.565,0.18,1.719,0.8465,0.407,0.3875,11
962,I,0.505,0.39,0.15,0.685,0.362,0.131,0.156,8
3218,F,0.64,0.505,0.19,1.2355,0.4435,0.3105,0.365,14
2515,F,0.47,0.375,0.12,0.6015,0.2765,0.1455,0.135,8
3799,F,0.705,0.56,0.17,1.4575,0.607,0.318,0.44,11
2501,F,0.33,0.26,0.08,0.2,0.0625,0.05,0.07,9
1513,M,0.65,0.485,0.14,1.175,0.475,0.2435,0.215,8
1304,M,0.535,0.435,0.15,0.717,0.3475,0.1445,0.194,9
2364,F,0.6,0.47,0.2,1.031,0.392,0.2035,0.29,15
2074,F,0.585,0.485,0.15,1.079,0.4145,0.2115,0.356,11
814,I,0.315,0.24,0.085,0.1715,0.071,0.0345,0.0535,7
2734,I,0.42,0.325,0.115,0.314,0.1295,0.0635,0.1,8
2801,M,0.64,0.515,0.08,1.042,0.515,0.1755,0.175,10
166,F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20
610,F,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,12
2339,M,0.64,0.52,0.2,1.407,0.566,0.304,0.455,17
2401,F,0.585,0.415,0.155,0.6985,0.3,0.146,0.195,12
3669,I,0.585,0.46,0.14,0.7635,0.326,0.153,0.265,9
1801,M,0.605,0.475,0.15,1.15,0.575,0.232,0.297,10
3123,M,0.575,0.45,0.135,0.9215,0.354,0.209,0.2365,9
1897,M,0.57,0.415,0.13,0.88,0.4275,0.1955,0.238,13
3340,I,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17
2718,I,0.355,0.255,0.08,0.187,0.078,0.0505,0.058,7
2229,M,0.37,0.28,0.095,0.2225,0.0805,0.051,0.075,7
1714,F,0.645,0.51,0.19,1.363,0.573,0.362,0.36,10
2407,I,0.625,0.43,0.175,1.411,0.572,0.297,0.395,12
171,F,0.53,0.395,0.145,0.775,0.308,0.169,0.255,7
1736,F,0.67,0.52,0.19,1.32,0.5235,0.3095,0.4275,13
2069,M,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,9
1673,I,0.61,0.465,0.125,0.9225,0.436,0.19,0.26,9
862,M,0.6,0.475,0.175,1.3445,0.549,0.2875,0.36,11
2489,M,0.49,0.39,0.135,0.592,0.242,0.096,0.1835,15
2358,F,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,20
2282,F,0.495,0.385,0.13,0.6905,0.3125,0.179,0.175,10
3615,M,0.615,0.475,0.19,1.4335,0.7315,0.305,0.3285,9
2016,M,0.505,0.39,0.12,0.653,0.3315,0.1385,0.167,9
2890,M,0.52,0.465,0.15,0.9505,0.456,0.199,0.255,8
3527,I,0.35,0.26,0.09,0.1765,0.072,0.0355,0.0575,7
3119,F,0.525,0.4,0.135,0.714,0.318,0.138,0.208,10
2942,M,0.63,0.53,0.18,1.2795,0.618,0.256,0.315,9
1014,F,0.625,0.5,0.165,1.288,0.573,0.3035,0.315,9
2464,F,0.52,0.405,0.14,0.6915,0.276,0.137,0.215,11
2899,I,0.55,0.425,0.13,0.664,0.2695,0.163,0.21,8
3663,I,0.55,0.4,0.135,0.717,0.3315,0.1495,0.221,9
3843,M,0.575,0.45,0.16,0.955,0.44,0.1685,0.27,16
261,F,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,12
1442,I,0.41,0.32,0.095,0.2905,0.141,0.063,0.073,5
1503,F,0.63,0.49,0.225,1.336,0.6805,0.259,0.3245,10
2332,F,0.515,0.42,0.135,0.6295,0.2815,0.127,0.215,9
2586,F,0.555,0.425,0.14,0.963,0.44,0.224,0.24,7
1916,M,0.6,0.46,0.17,1.1805,0.456,0.337,0.329,11
3149,F,0.7,0.54,0.215,1.978,0.6675,0.3125,0.71,24
608,M,0.37,0.285,0.1,0.228,0.0675,0.0675,0.081,10
806,I,0.28,0.205,0.07,0.1015,0.041,0.03,0.03,6
2574,M,0.48,0.37,0.1,0.5135,0.243,0.1015,0.135,8
1294,I,0.52,0.395,0.125,0.663,0.3005,0.131,0.1905,9
3091,M,0.495,0.38,0.12,0.474,0.197,0.1065,0.1545,10
