,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
1154,M,0.6,0.455,0.17,1.1915,0.696,0.2395,0.24,8
575,F,0.61,0.475,0.14,1.133,0.5275,0.2355,0.35,11
860,F,0.595,0.475,0.16,1.1405,0.547,0.231,0.271,6
3295,M,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22,14
2164,M,0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095,5
490,M,0.59,0.455,0.145,1.073,0.475,0.19,0.285,14
3255,I,0.3,0.23,0.075,0.15,0.0605,0.042,0.045,5
2860,F,0.72,0.55,0.18,1.52,0.637,0.325,0.435,10
939,I,0.46,0.36,0.1,0.4635,0.2325,0.093,0.115,7
1719,M,0.65,0.525,0.185,1.488,0.665,0.337,0.378,11
3191,M,0.65,0.515,0.18,1.3315,0.5665,0.347,0.405,13
916,I,0.385,0.265,0.08,0.251,0.124,0.037,0.07,6
1250,I,0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765,5
2027,M,0.565,0.445,0.145,0.9255,0.4345,0.212,0.2475,9
936,I,0.45,0.335,0.105,0.447,0.2335,0.153,0.119,7
258,F,0.635,0.505,0.17,1.415,0.605,0.297,0.365,15
3422,M,0.61,0.47,0.155,1.0325,0.497,0.2175,0.2785,9
722,M,0.555,0.44,0.15,1.092,0.416,0.212,0.4405,15
1831,I,0.365,0.27,0.075,0.2215,0.095,0.0445,0.07,6
3481,I,0.465,0.345,0.105,0.4015,0.242,0.0345,0.109,6
28,M,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,15
1461,M,0.485,0.37,0.13,0.526,0.2485,0.105,0.1555,6
614,I,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,15
1574,M,0.48,0.355,0.16,0.464,0.221,0.106,0.239,8
2338,M,0.655,0.485,0.195,1.62,0.6275,0.358,0.485,17
552,I,0.56,0.44,0.165,0.8,0.335,0.1735,0.25,12
2365,F,0.63,0.505,0.165,1.065,0.4595,0.216,0.315,12
2590,F,0.58,0.445,0.145,0.888,0.41,0.1815,0.2425,8
1409,F,0.66,0.515,0.17,1.337,0.615,0.3125,0.3575,10
3158,M,0.55,0.435,0.11,0.806,0.3415,0.203,0.215,9
4131,I,0.58,0.425,0.145,0.83,0.379,0.1605,0.2575,11
1817,F,0.685,0.535,0.175,1.5845,0.7175,0.3775,0.4215,9
3702,F,0.665,0.54,0.195,1.764,0.8505,0.3615,0.47,11
793,M,0.575,0.45,0.165,0.9215,0.3275,0.225,0.256,12
286,M,0.53,0.435,0.155,0.699,0.288,0.1595,0.205,10
1667,F,0.605,0.505,0.18,1.434,0.7285,0.264,0.431,11
2011,M,0.45,0.33,0.105,0.4955,0.2575,0.082,0.129,8
4107,I,0.42,0.305,0.1,0.3415,0.1645,0.0775,0.086,7
1324,I,0.565,0.44,0.175,0.8735,0.414,0.21,0.21,11
3202,F,0.62,0.485,0.22,1.511,0.5095,0.284,0.51,17
3616,M,0.615,0.495,0.2,1.304,0.5795,0.3115,0.371,14
2382,I,0.525,0.43,0.15,0.7365,0.3225,0.161,0.215,11
3905,M,0.38,0.27,0.095,0.219,0.0835,0.0515,0.07,6
46,M,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,9
675,F,0.52,0.395,0.18,0.64,0.158,0.11,0.245,22
1220,I,0.33,0.25,0.095,0.2085,0.102,0.0395,0.052,7
2042,I,0.385,0.28,0.1,0.2755,0.1305,0.061,0.0725,8
2602,M,0.615,0.47,0.155,1.2,0.5085,0.32,0.292,8
3187,F,0.51,0.385,0.135,0.632,0.282,0.145,0.17,8
405,F,0.525,0.44,0.15,0.8425,0.3685,0.1985,0.24,12
2701,F,0.675,0.55,0.19,1.551,0.7105,0.3685,0.412,13
2440,M,0.465,0.355,0.125,0.5255,0.2025,0.135,0.145,13
337,M,0.59,0.45,0.185,1.283,0.473,0.276,0.425,16
3399,F,0.46,0.35,0.115,0.44,0.19,0.1025,0.13,8
1655,F,0.6,0.46,0.155,0.9735,0.427,0.2045,0.3,8
1715,M,0.645,0.485,0.15,1.2215,0.5695,0.2735,0.33,9
3956,F,0.515,0.395,0.14,0.686,0.281,0.1255,0.22,12
3873,I,0.33,0.25,0.075,0.1405,0.056,0.035,0.05,5
3700,F,0.66,0.53,0.17,1.431,0.622,0.309,0.398,10
1278,I,0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495,8
2049,I,0.445,0.32,0.12,0.378,0.152,0.0825,0.12,8
3220,M,0.5,0.4,0.145,0.6025,0.216,0.138,0.21,11
2157,M,0.62,0.495,0.175,1.806,0.643,0.3285,0.725,17
981,F,0.55,0.43,0.14,0.8105,0.368,0.161,0.275,9
3394,M,0.62,0.48,0.16,1.0765,0.412,0.253,0.3,13
2897,I,0.545,0.43,0.15,0.742,0.3525,0.158,0.208,10
759,M,0.57,0.43,0.12,1.0615,0.348,0.167,0.31,15
1049,M,0.715,0.565,0.175,1.9525,0.7645,0.4185,0.4135,10
3571,F,0.585,0.465,0.165,0.9355,0.4035,0.2275,0.259,9
1639,I,0.575,0.45,0.135,0.807,0.3615,0.176,0.254,10
4114,F,0.57,0.45,0.15,0.9645,0.531,0.189,0.209,9
2971,M,0.715,0.55,0.175,1.825,0.938,0.3805,0.44,11
3485,I,0.485,0.37,0.115,0.637,0.38,0.1335,0.128,7
1698,M,0.63,0.495,0.175,1.2695,0.605,0.271,0.328,11
510,I,0.68,0.53,0.185,1.1095,0.439,0.245,0.34,10
612,M,0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,9
570,I,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,16
1463,M,0.505,0.385,0.105,0.5525,0.239,0.1245,0.1555,9
3446,I,0.5,0.385,0.11,0.596,0.3015,0.104,0.151,8
4176,M,0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495,12
4136,F,0.615,0.495,0.155,1.0805,0.52,0.19,0.32,9
4142,M,0.655,0.525,0.18,1.402,0.624,0.2935,0.365,13
1836,I,0.415,0.31,0.09,0.2815,0.1245,0.0615,0.085,6
1382,F,0.625,0.515,0.16,1.264,0.5715,0.326,0.321,9
368,M,0.63,0.49,0.18,1.13,0.458,0.2765,0.315,12
443,I,0.395,0.295,0.1,0.2715,0.134,0.0325,0.085,10
1980,F,0.705,0.535,0.22,1.866,0.929,0.3835,0.4395,10
1331,M,0.57,0.435,0.17,0.873,0.382,0.183,0.2705,10
3262,F,0.595,0.485,0.145,1.2515,0.5035,0.2925,0.33,14
600,I,0.535,0.42,0.145,0.926,0.398,0.1965,0.25,17
3872,F,0.515,0.4,0.115,0.578,0.191,0.1445,0.17,9
1282,M,0.5,0.42,0.135,0.6765,0.302,0.1415,0.2065,9
2613,F,0.635,0.495,0.195,1.297,0.556,0.2985,0.37,11
2466,M,0.425,0.325,0.12,0.3755,0.142,0.1065,0.105,9
2292,F,0.38,0.3,0.09,0.3215,0.1545,0.075,0.095,9
1729,M,0.665,0.525,0.175,1.443,0.6635,0.3845,0.353,11
1193,M,0.7,0.575,0.19,2.273,1.095,0.418,0.638,12
1858,F,0.51,0.4,0.12,0.7005,0.347,0.1105,0.195,10
3581,M,0.625,0.48,0.16,1.1415,0.5795,0.2145,0.29,9
2486,F,0.49,0.4,0.145,0.6635,0.21,0.1295,0.2515,13
181,M,0.64,0.51,0.175,1.368,0.515,0.266,0.57,21
2230,M,0.555,0.43,0.165,0.7575,0.2735,0.1635,0.275,13
3834,M,0.335,0.26,0.075,0.22,0.0855,0.04,0.085,6
2287,F,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1,7
1316,M,0.555,0.44,0.14,0.8705,0.407,0.156,0.255,9
1517,F,0.665,0.515,0.18,1.389,0.5945,0.324,0.395,10
1786,I,0.535,0.385,0.18,1.0835,0.4955,0.2295,0.304,8
943,I,0.465,0.345,0.11,0.4415,0.1755,0.0905,0.12,7
1002,F,0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515,9
1671,M,0.61,0.47,0.16,1.022,0.449,0.2345,0.2945,9
1245,I,0.385,0.28,0.09,0.228,0.1025,0.042,0.0655,5
4134,F,0.595,0.455,0.14,0.914,0.3895,0.2225,0.271,9
2432,F,0.61,0.485,0.165,1.087,0.4255,0.232,0.38,11
2091,F,0.505,0.39,0.115,0.66,0.3045,0.1555,0.175,8
3938,F,0.35,0.275,0.065,0.205,0.0745,0.0465,0.07,10
2106,M,0.595,0.455,0.155,1.041,0.416,0.2105,0.365,14
1169,F,0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,8
3902,I,0.16,0.12,0.02,0.018,0.0075,0.0045,0.005,4
2077,F,0.61,0.43,0.14,0.909,0.438,0.2,0.22,8
89,F,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,12
2433,F,0.66,0.515,0.18,1.523,0.54,0.3365,0.555,16
1727,M,0.66,0.53,0.195,1.5505,0.6505,0.3295,0.495,10
1623,F,0.565,0.44,0.15,0.863,0.435,0.149,0.27,9
4151,I,0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041,6
2166,I,0.38,0.28,0.085,0.2735,0.115,0.061,0.085,6
49,F,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9
3118,M,0.51,0.415,0.145,0.751,0.3295,0.1835,0.203,8
3051,M,0.595,0.48,0.14,0.9125,0.4095,0.1825,0.289,9
3783,I,0.62,0.48,0.18,1.1305,0.5285,0.2655,0.306,12
3839,M,0.52,0.425,0.125,0.79,0.372,0.205,0.19,8
2218,M,0.495,0.39,0.15,0.853,0.3285,0.189,0.27,14
