,X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep,fri,mon,sat,sun,thu,tue,wed,Class,estimatedOutput,lossValue,testID,learningRate,numHiddenNodesPercentage
0,7,5,0.6451612903225808,0.08275382475660639,0.10047281323877069,0.07942238267148014,0.1254355400696864,0.4444444444444444,0.7,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.8656754914127245,0.749394056432662,1,0.001,0.5
299,6,5,-0.5304659498207889,0.23852573018080664,0.2653664302600473,-0.005415162454873645,0.20905923344947738,0.9259259259259259,0.2555555555555556,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.7885721748041483,0.6218460748753443,1,0.001,0.5
495,6,6,1.0035842293906814,0.6018776077885952,0.7712765957446809,0.29061371841155237,0.6724738675958188,0.3333333333333333,0.20000000000000004,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.1687641489110718,1.3660096357798222,1,0.001,0.5
364,6,5,0.8494623655913982,0.3800417246175243,0.8995271867612293,0.10469314079422383,0.5749128919860628,0.24691358024691357,0.2555555555555556,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1.8946168546677629,0.9814999086783291,0.8337825570530704,1,0.001,0.5
284,5,4,0.6093189964157708,0.008692628650904035,0.0076832151300236405,0.10108303249097472,0.10104529616724742,0.38271604938271603,0.8444444444444444,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.228430037673012,0.7268423126173744,6.25794114614904,1,0.001,0.5
453,4,5,0.759856630824373,0.9172461752433936,0.9385342789598109,0.08844765342960288,0.4459930313588851,0.48148148148148145,0.30000000000000004,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0077131895260751,1.0154858723448155,1,0.001,0.5
222,4,3,0.6953405017921146,0.17315716272600834,0.11170212765957446,0.07761732851985559,0.22299651567944256,0.38271604938271603,0.6,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.6336309798834576,0.614621360171586,9.11441908391282,1,0.001,0.5
443,1,2,0.8064516129032261,0.2729485396383866,0.4243498817966903,0.29061371841155237,0.3554006968641116,0.7777777777777778,0.8444444444444444,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.5302830581625195,0.28120012177419407,1,0.001,0.5
516,6,3,0.40501792114695345,0.002086230876216968,0.11513002364066195,0.007220216606498198,0.25087108013937287,0.19753086419753085,0.4555555555555555,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.5660412788302569,0.32040272933979264,1,0.001,0.5
169,8,6,0.9677419354838712,0.4495827538247565,0.6731678486997635,0.17509025270758125,0.5609756097560977,0.37037037037037035,0.20000000000000004,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.2669476034873244,1.1044770690479595,0.02639667456101285,1,0.001,0.5
47,6,6,0.9318996415770612,0.20827538247566063,0.5125295508274231,0.18592057761732853,0.6411149825783973,0.25925925925925924,0.30000000000000004,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0705528361776295,1.1460833750479664,1,0.001,0.5
452,7,4,0.835125448028674,0.8198887343532683,0.8526004728132388,0.12274368231046931,0.45644599303135897,0.6172839506172839,0.4,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.899000436271292,0.8082017844159733,1,0.001,0.5
194,2,2,0.9534050179211471,0.3682197496522948,0.7539007092198582,0.29422382671480146,0.696864111498258,0.08641975308641975,0.4555555555555555,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.3988039507345884,0.5981081985913048,3.242505191786866,1,0.001,0.5
65,2,2,0.8422939068100361,0.38908205841446447,0.7706855791962175,0.10108303249097472,0.48780487804878064,0.35802469135802467,0.4555555555555555,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.5634496244690768,0.3174754793143436,1,0.001,0.5
114,3,4,0.7132616487455197,0.08101529902642558,0.06891252955082743,0.05595667870036101,0.39024390243902446,0.14814814814814814,0.7999999999999999,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.7473525605120845,0.558535849703969,1,0.001,0.5
