,buying,maint,doors,persons,lug_boot,safety,Class
0,3,3,0,0,0,0,unacc
2,3,3,0,0,0,2,unacc
11,3,3,0,1,0,2,unacc
14,3,3,0,1,1,2,unacc
16,3,3,0,1,2,1,unacc
17,3,3,0,1,2,2,unacc
18,3,3,0,2,0,0,unacc
19,3,3,0,2,0,1,unacc
20,3,3,0,2,0,2,unacc
22,3,3,0,2,1,1,unacc
23,3,3,0,2,1,2,unacc
24,3,3,0,2,2,0,unacc
25,3,3,0,2,2,1,unacc
27,3,3,1,0,0,0,unacc
29,3,3,1,0,0,2,unacc
31,3,3,1,0,1,1,unacc
33,3,3,1,0,2,0,unacc
35,3,3,1,0,2,2,unacc
41,3,3,1,1,1,2,unacc
47,3,3,1,2,0,2,unacc
56,3,3,2,0,0,2,unacc
59,3,3,2,0,1,2,unacc
62,3,3,2,0,2,2,unacc
63,3,3,2,1,0,0,unacc
64,3,3,2,1,0,1,unacc
65,3,3,2,1,0,2,unacc
69,3,3,2,1,2,0,unacc
70,3,3,2,1,2,1,unacc
74,3,3,2,2,0,2,unacc
75,3,3,2,2,1,0,unacc
76,3,3,2,2,1,1,unacc
79,3,3,2,2,2,1,unacc
82,3,3,3,0,0,1,unacc
85,3,3,3,0,1,1,unacc
87,3,3,3,0,2,0,unacc
89,3,3,3,0,2,2,unacc
94,3,3,3,1,1,1,unacc
95,3,3,3,1,1,2,unacc
96,3,3,3,1,2,0,unacc
99,3,3,3,2,0,0,unacc
102,3,3,3,2,1,0,unacc
106,3,3,3,2,2,1,unacc
109,3,2,0,0,0,1,unacc
113,3,2,0,0,1,2,unacc
121,3,2,0,1,1,1,unacc
126,3,2,0,2,0,0,unacc
127,3,2,0,2,0,1,unacc
128,3,2,0,2,0,2,unacc
129,3,2,0,2,1,0,unacc
131,3,2,0,2,1,2,unacc
132,3,2,0,2,2,0,unacc
133,3,2,0,2,2,1,unacc
134,3,2,0,2,2,2,unacc
135,3,2,1,0,0,0,unacc
138,3,2,1,0,1,0,unacc
142,3,2,1,0,2,1,unacc
143,3,2,1,0,2,2,unacc
144,3,2,1,1,0,0,unacc
145,3,2,1,1,0,1,unacc
146,3,2,1,1,0,2,unacc
154,3,2,1,2,0,1,unacc
155,3,2,1,2,0,2,unacc
157,3,2,1,2,1,1,unacc
158,3,2,1,2,1,2,unacc
160,3,2,1,2,2,1,unacc
161,3,2,1,2,2,2,unacc
162,3,2,2,0,0,0,unacc
164,3,2,2,0,0,2,unacc
165,3,2,2,0,1,0,unacc
167,3,2,2,0,1,2,unacc
169,3,2,2,0,2,1,unacc
173,3,2,2,1,0,2,unacc
174,3,2,2,1,1,0,unacc
176,3,2,2,1,1,2,unacc
178,3,2,2,1,2,1,unacc
180,3,2,2,2,0,0,unacc
182,3,2,2,2,0,2,unacc
187,3,2,2,2,2,1,unacc
190,3,2,3,0,0,1,unacc
195,3,2,3,0,2,0,unacc
199,3,2,3,1,0,1,unacc
203,3,2,3,1,1,2,unacc
204,3,2,3,1,2,0,unacc
205,3,2,3,1,2,1,unacc
209,3,2,3,2,0,2,unacc
210,3,2,3,2,1,0,unacc
214,3,2,3,2,2,1,unacc
215,3,2,3,2,2,2,unacc
217,3,1,0,0,0,1,unacc
218,3,1,0,0,0,2,unacc
219,3,1,0,0,1,0,unacc
221,3,1,0,0,1,2,unacc
224,3,1,0,0,2,2,unacc
225,3,1,0,1,0,0,unacc
226,3,1,0,1,0,1,unacc
228,3,1,0,1,1,0,unacc
238,3,1,0,2,1,1,unacc
245,3,1,1,0,0,2,unacc
246,3,1,1,0,1,0,unacc
247,3,1,1,0,1,1,unacc
248,3,1,1,0,1,2,unacc
252,3,1,1,1,0,0,unacc
255,3,1,1,1,1,0,unacc
258,3,1,1,1,2,0,unacc
261,3,1,1,2,0,0,unacc
267,3,1,1,2,2,0,unacc
274,3,1,2,0,1,1,unacc
276,3,1,2,0,2,0,unacc
277,3,1,2,0,2,1,unacc
279,3,1,2,1,0,0,unacc
280,3,1,2,1,0,1,unacc
285,3,1,2,1,2,0,unacc
289,3,1,2,2,0,1,unacc
299,3,1,3,0,0,2,unacc
303,3,1,3,0,2,0,unacc
316,3,1,3,2,0,1,unacc
318,3,1,3,2,1,0,unacc
321,3,1,3,2,2,0,unacc
328,3,0,0,0,1,1,unacc
332,3,0,0,0,2,2,unacc
334,3,0,0,1,0,1,unacc
336,3,0,0,1,1,0,unacc
339,3,0,0,1,2,0,unacc
343,3,0,0,2,0,1,unacc
344,3,0,0,2,0,2,unacc
346,3,0,0,2,1,1,unacc
352,3,0,1,0,0,1,unacc
355,3,0,1,0,1,1,unacc
357,3,0,1,0,2,0,unacc
358,3,0,1,0,2,1,unacc
361,3,0,1,1,0,1,unacc
363,3,0,1,1,1,0,unacc
372,3,0,1,2,1,0,unacc
382,3,0,2,0,1,1,unacc
384,3,0,2,0,2,0,unacc
388,3,0,2,1,0,1,unacc
390,3,0,2,1,1,0,unacc
397,3,0,2,2,0,1,unacc
402,3,0,2,2,2,0,unacc
407,3,0,3,0,0,2,unacc
411,3,0,3,0,2,0,unacc
413,3,0,3,0,2,2,unacc
423,3,0,3,2,0,0,unacc
426,3,0,3,2,1,0,unacc
429,3,0,3,2,2,0,unacc
436,2,3,0,0,1,1,unacc
438,2,3,0,0,2,0,unacc
439,2,3,0,0,2,1,unacc
443,2,3,0,1,0,2,unacc
444,2,3,0,1,1,0,unacc
448,2,3,0,1,2,1,unacc
450,2,3,0,2,0,0,unacc
452,2,3,0,2,0,2,unacc
453,2,3,0,2,1,0,unacc
457,2,3,0,2,2,1,unacc
460,2,3,1,0,0,1,unacc
461,2,3,1,0,0,2,unacc
465,2,3,1,0,2,0,unacc
467,2,3,1,0,2,2,unacc
468,2,3,1,1,0,0,unacc
470,2,3,1,1,0,2,unacc
473,2,3,1,1,1,2,unacc
474,2,3,1,1,2,0,unacc
475,2,3,1,1,2,1,unacc
476,2,3,1,1,2,2,unacc
477,2,3,1,2,0,0,unacc
480,2,3,1,2,1,0,unacc
482,2,3,1,2,1,2,unacc
488,2,3,2,0,0,2,unacc
489,2,3,2,0,1,0,unacc
492,2,3,2,0,2,0,unacc
494,2,3,2,0,2,2,unacc
497,2,3,2,1,0,2,unacc
498,2,3,2,1,1,0,unacc
501,2,3,2,1,2,0,unacc
508,2,3,2,2,1,1,unacc
509,2,3,2,2,1,2,unacc
510,2,3,2,2,2,0,unacc
512,2,3,2,2,2,2,unacc
513,2,3,3,0,0,0,unacc
514,2,3,3,0,0,1,unacc
515,2,3,3,0,0,2,unacc
521,2,3,3,0,2,2,unacc
522,2,3,3,1,0,0,unacc
524,2,3,3,1,0,2,unacc
525,2,3,3,1,1,0,unacc
527,2,3,3,1,1,2,unacc
530,2,3,3,1,2,2,unacc
531,2,3,3,2,0,0,unacc
532,2,3,3,2,0,1,unacc
538,2,3,3,2,2,1,unacc
539,2,3,3,2,2,2,unacc
540,2,2,0,0,0,0,unacc
543,2,2,0,0,1,0,unacc
544,2,2,0,0,1,1,unacc
546,2,2,0,0,2,0,unacc
547,2,2,0,0,2,1,unacc
560,2,2,0,2,0,2,unacc
564,2,2,0,2,2,0,unacc
569,2,2,1,0,0,2,unacc
