,p,k,e,s,AveragePerformance,TestsRun
15,1,5,5,2,143.87433592621582,10
1,1,3,3,2,187.12454585004053,10
30,2,5,3,1,159.84057080320798,10
17,1,5,10,2,188.08893525127567,10
19,2,3,3,2,192.77687989363966,10
31,2,5,3,2,157.6661540792354,10
12,1,5,3,1,147.20822221451263,10
21,2,3,5,2,207.17669797635284,10
14,1,5,5,1,157.59939249508486,10
26,2,4,5,1,180.39394957590167,10
0,1,3,3,1,193.9981532424096,10
20,2,3,5,1,238.81540085321632,10
18,2,3,3,1,220.81604817713824,10
16,1,5,10,1,179.62381206637997,10
28,2,4,10,1,214.893266259859,10
3,1,3,5,2,182.50861129105192,10
6,1,4,3,1,160.7166298205962,10
24,2,4,3,1,190.95109667221703,10
34,2,5,10,1,213.02896611187552,10
7,1,4,3,2,173.3513065397136,10
