,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class,leafDecisionNode,leafParentNode,classPrediction,success,treeID
5,26.0,8000.0,32000.0,64.0,8.0,32.0,318,45,27,436.5,14042.25,1
11,400.0,512.0,3500.0,4.0,1.0,6.0,40,41,22,200.0,25600.0,1
12,60.0,2000.0,8000.0,65.0,1.0,8.0,92,41,22,200.0,11664.0,1
13,50.0,4000.0,16000.0,65.0,1.0,8.0,138,41,22,200.0,3844.0,1
15,200.0,512.0,16000.0,0.0,4.0,32.0,35,41,22,200.0,27225.0,1
17,143.0,512.0,5000.0,0.0,7.0,32.0,28,45,27,436.5,166872.25,1
18,143.0,1000.0,2000.0,0.0,5.0,16.0,31,41,22,200.0,28561.0,1
22,143.0,2300.0,6200.0,0.0,6.0,64.0,61,45,27,436.5,141000.25,1
23,110.0,3100.0,6200.0,0.0,6.0,64.0,76,45,27,436.5,129960.25,1
27,320.0,256.0,3000.0,4.0,1.0,3.0,27,41,22,200.0,29929.0,1
34,56.0,5240.0,20970.0,30.0,12.0,24.0,106,45,27,436.5,109230.25,1
36,50.0,500.0,2000.0,8.0,1.0,4.0,20,41,22,200.0,32400.0,1
38,50.0,2000.0,8000.0,8.0,1.0,5.0,71,41,22,200.0,16641.0,1
42,50.0,2000.0,16000.0,8.0,3.0,6.0,52,41,22,200.0,21904.0,1
45,133.0,1000.0,8000.0,9.0,3.0,12.0,72,41,22,200.0,16384.0,1
47,810.0,1000.0,5000.0,0.0,1.0,1.0,20,41,22,200.0,32400.0,1
49,200.0,512.0,8000.0,8.0,1.0,8.0,62,41,22,200.0,19044.0,1
51,700.0,256.0,2000.0,0.0,1.0,1.0,24,41,22,200.0,30976.0,1
54,110.0,1000.0,4000.0,16.0,1.0,2.0,26,41,22,200.0,30276.0,1
56,220.0,1000.0,8000.0,16.0,1.0,2.0,71,41,22,200.0,16641.0,1
57,800.0,256.0,8000.0,0.0,1.0,4.0,12,41,22,200.0,35344.0,1
60,800.0,256.0,8000.0,0.0,1.0,4.0,16,41,22,200.0,33856.0,1
64,75.0,2000.0,16000.0,64.0,1.0,38.0,144,41,22,200.0,3136.0,1
67,105.0,256.0,2000.0,0.0,3.0,10.0,26,41,22,200.0,30276.0,1
71,75.0,3000.0,8000.0,8.0,3.0,48.0,64,41,22,200.0,18496.0,1
73,300.0,768.0,3000.0,0.0,6.0,24.0,36,45,27,436.5,160400.25,1
74,300.0,768.0,3000.0,6.0,6.0,24.0,44,45,27,436.5,154056.25,1
79,180.0,768.0,12000.0,6.0,1.0,31.0,84,41,22,200.0,13456.0,1
83,330.0,1000.0,2000.0,0.0,1.0,2.0,16,41,22,200.0,33856.0,1
88,140.0,2000.0,32000.0,32.0,1.0,20.0,134,41,22,200.0,4356.0,1
93,57.0,4000.0,16000.0,1.0,6.0,12.0,132,45,27,436.5,92720.25,1
96,26.0,16000.0,32000.0,64.0,8.0,24.0,465,45,27,436.5,812.25,1
101,115.0,512.0,6000.0,16.0,1.0,6.0,45,41,22,200.0,24025.0,1
102,1100.0,512.0,1500.0,0.0,1.0,1.0,7,41,22,200.0,37249.0,1
103,1100.0,768.0,2000.0,0.0,1.0,1.0,13,41,22,200.0,34969.0,1
104,600.0,768.0,2000.0,0.0,1.0,1.0,16,41,22,200.0,33856.0,1
114,180.0,2000.0,8000.0,8.0,1.0,6.0,50,41,22,200.0,22500.0,1
115,185.0,2000.0,16000.0,16.0,1.0,6.0,76,41,22,200.0,15376.0,1
116,180.0,2000.0,16000.0,16.0,1.0,6.0,66,41,22,200.0,17956.0,1
117,225.0,1000.0,4000.0,2.0,3.0,6.0,24,41,22,200.0,30976.0,1
118,25.0,2000.0,12000.0,8.0,1.0,4.0,49,41,22,200.0,22801.0,1
123,1500.0,768.0,2000.0,0.0,0.0,0.0,18,41,22,200.0,33124.0,1
124,800.0,768.0,2000.0,0.0,0.0,0.0,20,41,22,200.0,32400.0,1
