,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class
35,64.0,5240.0,20970.0,30.0,12.0,24.0,208
5,26.0,8000.0,32000.0,64.0,8.0,32.0,318
65,75.0,2000.0,16000.0,128.0,1.0,38.0,259
68,105.0,1000.0,4000.0,0.0,3.0,24.0,32
27,320.0,256.0,3000.0,4.0,1.0,3.0,27
161,56.0,2000.0,8000.0,0.0,1.0,8.0,24
97,26.0,8000.0,32000.0,0.0,8.0,24.0,277
173,250.0,512.0,4000.0,0.0,1.0,7.0,25
158,84.0,1000.0,2000.0,0.0,1.0,6.0,12
203,180.0,512.0,4000.0,0.0,1.0,3.0,21
164,56.0,4000.0,16000.0,0.0,1.0,8.0,46
133,100.0,1000.0,8000.0,24.0,3.0,6.0,32
188,59.0,4000.0,12000.0,32.0,6.0,12.0,113
199,30.0,8000.0,64000.0,128.0,12.0,176.0,1150
185,105.0,2000.0,8000.0,16.0,4.0,14.0,58
147,50.0,4000.0,16000.0,64.0,5.0,10.0,111
75,300.0,768.0,12000.0,6.0,6.0,24.0,50
89,140.0,2000.0,8000.0,32.0,1.0,54.0,66
46,810.0,512.0,512.0,8.0,1.0,1.0,18
138,115.0,2000.0,8000.0,16.0,1.0,3.0,50
48,320.0,512.0,8000.0,4.0,1.0,5.0,40
73,300.0,768.0,3000.0,0.0,6.0,24.0,36
87,140.0,2000.0,4000.0,8.0,1.0,20.0,35
22,143.0,2300.0,6200.0,0.0,6.0,64.0,61
38,50.0,2000.0,8000.0,8.0,1.0,5.0,71
77,300.0,384.0,12000.0,6.0,1.0,24.0,53
39,50.0,1000.0,4000.0,8.0,3.0,5.0,26
80,330.0,1000.0,3000.0,0.0,2.0,4.0,16
83,330.0,1000.0,2000.0,0.0,1.0,2.0,16
156,30.0,16000.0,32000.0,256.0,16.0,24.0,510
107,900.0,1000.0,1000.0,0.0,1.0,2.0,11
24,320.0,128.0,6000.0,0.0,1.0,12.0,23
135,50.0,2000.0,16000.0,24.0,6.0,16.0,54
29,320.0,256.0,5000.0,4.0,1.0,6.0,27
26,320.0,256.0,6000.0,0.0,1.0,6.0,33
0,125.0,256.0,6000.0,256.0,16.0,128.0,198
130,50.0,8000.0,16000.0,48.0,1.0,10.0,136
30,25.0,1310.0,2620.0,131.0,12.0,24.0,274
81,300.0,1000.0,4000.0,8.0,3.0,64.0,38
111,900.0,2000.0,4000.0,0.0,3.0,6.0,37
174,250.0,512.0,4000.0,0.0,4.0,7.0,50
195,50.0,2000.0,32000.0,48.0,26.0,52.0,208
71,75.0,3000.0,8000.0,8.0,3.0,48.0,64
19,110.0,5000.0,5000.0,142.0,8.0,64.0,120
201,180.0,512.0,4000.0,0.0,1.0,3.0,14
36,50.0,500.0,2000.0,8.0,1.0,4.0,20
176,160.0,512.0,4000.0,2.0,1.0,5.0,30
43,50.0,2000.0,16000.0,8.0,3.0,6.0,60
134,50.0,2000.0,16000.0,12.0,3.0,16.0,45
139,115.0,2000.0,4000.0,2.0,1.0,5.0,40
202,180.0,262.0,4000.0,0.0,1.0,3.0,18
196,50.0,2000.0,32000.0,112.0,52.0,104.0,307
186,52.0,4000.0,16000.0,32.0,4.0,12.0,130
86,140.0,2000.0,4000.0,0.0,4.0,8.0,40
45,133.0,1000.0,8000.0,9.0,3.0,12.0,72
150,40.0,8000.0,16000.0,32.0,8.0,16.0,214
88,140.0,2000.0,32000.0,32.0,1.0,20.0,134
148,72.0,4000.0,16000.0,64.0,8.0,16.0,143
8,23.0,16000.0,64000.0,64.0,16.0,32.0,636
129,50.0,2000.0,16000.0,24.0,1.0,6.0,80
53,200.0,1000.0,8000.0,0.0,1.0,2.0,36
197,50.0,4000.0,32000.0,112.0,52.0,104.0,397
84,330.0,1000.0,4000.0,0.0,3.0,6.0,22
143,75.0,4000.0,16000.0,16.0,1.0,6.0,66
121,17.0,4000.0,16000.0,32.0,6.0,12.0,133
108,900.0,512.0,1000.0,0.0,1.0,2.0,11
124,800.0,768.0,2000.0,0.0,0.0,0.0,20
179,160.0,1000.0,8000.0,16.0,1.0,14.0,60
79,180.0,768.0,12000.0,6.0,1.0,31.0,84
126,50.0,2000.0,8000.0,8.0,3.0,6.0,45
136,50.0,2000.0,16000.0,24.0,6.0,16.0,65
190,26.0,8000.0,24000.0,32.0,8.0,16.0,173
95,26.0,16000.0,32000.0,64.0,16.0,24.0,465
49,200.0,512.0,8000.0,8.0,1.0,8.0,62
166,38.0,4000.0,8000.0,32.0,16.0,32.0,116
90,140.0,2000.0,32000.0,32.0,1.0,54.0,141
72,175.0,256.0,2000.0,0.0,3.0,24.0,22
132,100.0,1000.0,8000.0,24.0,2.0,6.0,26
117,225.0,1000.0,4000.0,2.0,3.0,6.0,24
182,240.0,512.0,2000.0,8.0,1.0,5.0,11
42,50.0,2000.0,16000.0,8.0,3.0,6.0,52
146,60.0,4000.0,16000.0,64.0,5.0,8.0,93
149,72.0,2000.0,8000.0,16.0,6.0,8.0,105
104,600.0,768.0,2000.0,0.0,1.0,1.0,16
