,buying,maint,doors,persons,lug_boot,safety,Class,estimatedOutput,lossValue,testID,learningRate,numHiddenNodesPercentage
783,2,0,1,0,0,0,unacc,unacc,0.00464096503438371,1,0.01,0.5
1573,0,1,2,0,2,1,unacc,unacc,0.17671320171152594,1,0.01,0.5
777,2,0,0,2,1,0,unacc,unacc,0.09416624148976538,1,0.01,0.5
1030,1,2,2,0,1,1,unacc,unacc,0.022660431507020348,1,0.01,0.5
1060,1,2,3,0,2,1,unacc,unacc,0.033877761029485774,1,0.01,0.5
766,2,0,0,1,0,1,unacc,unacc,0.10284906458799543,1,0.01,0.5
1058,1,2,3,0,1,2,unacc,unacc,0.13979978564325793,1,0.01,0.5
62,3,3,2,0,2,2,unacc,unacc,0.04894493184479748,1,0.01,0.5
457,2,3,0,2,2,1,unacc,unacc,0.16229404167587314,1,0.01,0.5
414,3,0,3,1,0,0,unacc,unacc,0.014205127591253147,1,0.01,0.5
1170,1,1,3,1,0,0,unacc,unacc,0.02442392383394001,1,0.01,0.5
1617,0,1,3,2,2,0,unacc,unacc,0.3799715283395005,1,0.01,0.5
139,3,2,1,0,1,1,unacc,unacc,0.008923423764211335,1,0.01,0.5
426,3,0,3,2,1,0,unacc,unacc,0.07662794817059791,1,0.01,0.5
735,2,1,3,0,2,0,unacc,unacc,0.005577172487512226,1,0.01,0.5
74,3,3,2,2,0,2,unacc,acc,0.360540492260838,1,0.01,0.5
140,3,2,1,0,1,2,unacc,unacc,0.05310675578065409,1,0.01,0.5
291,3,1,2,2,1,0,unacc,unacc,0.04486815612938567,1,0.01,0.5
1439,0,2,1,0,2,2,unacc,unacc,0.2961687503086658,1,0.01,0.5
309,3,1,3,1,1,0,unacc,unacc,0.011581319048466076,1,0.01,0.5
1705,0,0,3,0,1,1,unacc,unacc,0.4264242020256096,1,0.01,0.5
550,2,2,0,1,0,1,unacc,unacc,0.03844380517441263,1,0.01,0.5
680,2,1,1,0,1,2,unacc,unacc,0.12066964138632415,1,0.01,0.5
747,2,1,3,2,0,0,unacc,unacc,0.05555474370176941,1,0.01,0.5
181,3,2,2,2,0,1,unacc,unacc,0.12201125298956071,1,0.01,0.5
924,1,3,2,0,2,0,unacc,unacc,0.002895010172827939,1,0.01,0.5
899,1,3,1,0,2,2,unacc,unacc,0.09502945766781086,1,0.01,0.5
1423,0,2,0,2,0,1,unacc,unacc,0.32626238695762644,1,0.01,0.5
1194,1,0,0,0,2,0,unacc,unacc,0.01799559220115536,1,0.01,0.5
69,3,3,2,1,2,0,unacc,unacc,0.005745440289254396,1,0.01,0.5
