,testID,currentParameterID,nearestNeighbors,expectedValue,actualValue,correctAssignment
484,0,21,"[285, 103, 272, 242, 515, 496, 497, 418, 140, 438, 192, 267, 385, 122, 129, 340]",1.1680109188628018,3.311637304949512,False
439,0,21,"[508, 175, 139, 431, 457, 178, 200, 63, 515, 385, 398, 340, 377, 143, 334, 80]",1.4185999260422804,0.2851789422336624,False
227,0,21,"[229, 184, 256, 93, 163, 298, 149, 142, 9, 424, 297, 461, 458, 403, 11, 159]",0.6575608901970008,4.08260930600368,False
415,0,21,"[248, 382, 149, 424, 184, 403, 298, 461, 458, 413, 256, 494, 422, 93, 229, 384]",1.6778136256314515,6.616439947564594,False
207,0,21,"[364, 13, 27, 232, 365, 9, 203, 172, 352, 224, 331, 313, 287, 452, 403, 413]",1.1050800761203512,2.9014215940827497,False
387,0,21,"[16, 105, 467, 196, 18, 165, 132, 19, 215, 471, 275, 301, 319, 347, 73, 37]",1.0551194654728315,0.0,False
120,0,21,"[98, 137, 216, 242, 386, 385, 261, 348, 122, 95, 315, 340, 140, 347, 489, 272]",0.913816068085081,0.0,True
486,0,21,"[73, 490, 167, 450, 319, 266, 489, 504, 45, 225, 230, 232, 24, 74, 313, 496]",1.5761860243773935,1.0986122886681098,True
235,0,21,"[93, 172, 229, 184, 256, 298, 179, 163, 461, 458, 25, 142, 297, 403, 424, 23]",0.9255265500255365,5.285637313390662,False
26,0,21,"[159, 212, 352, 172, 23, 331, 24, 25, 37, 9, 287, 184, 11, 224, 319, 413]",1.068484582906612,0.0,False
369,0,21,"[453, 374, 440, 406, 98, 225, 216, 261, 95, 137, 386, 234, 367, 43, 122, 347]",1.2723443016770764,0.0,False
118,0,21,"[467, 48, 283, 215, 111, 132, 471, 210, 315, 278, 16, 395, 18, 122, 241, 137]",1.2023582714637968,0.0,False
126,0,21,"[48, 395, 283, 132, 467, 137, 340, 105, 178, 140, 129, 95, 215, 111, 471, 19]",1.1256484711395225,0.0,False
49,0,21,"[48, 132, 467, 105, 215, 278, 395, 471, 19, 283, 16, 241, 95, 18, 301, 189]",1.1370887346076197,0.0,False
84,0,21,"[508, 457, 139, 431, 141, 175, 80, 63, 398, 200, 255, 143, 515, 377, 178, 334]",1.2263998089222017,0.0,False
208,0,21,"[159, 313, 167, 319, 212, 352, 494, 9, 172, 23, 355, 331, 364, 301, 365, 184]",1.7194939008842012,3.007166651179654,False
503,0,21,"[504, 490, 192, 272, 267, 103, 497, 230, 141, 475, 418, 515, 450, 315, 457, 285]",1.4491463640179494,1.0818051703517284,True
449,0,21,"[25, 172, 452, 23, 27, 287, 331, 478, 352, 9, 93, 159, 224, 37, 384, 461]",0.9732862899795802,0.0,True
193,0,21,"[230, 218, 367, 317, 314, 234, 490, 313, 355, 481, 45, 450, 225, 315, 504, 319]",1.7549164700034925,2.3427668826268775,True
350,0,21,"[347, 440, 348, 355, 374, 352, 43, 37, 261, 216, 319, 73, 317, 98, 95, 74]",0.9265192818130188,1.5496879080283263,True
464,0,21,"[463, 196, 165, 202, 19, 239, 18, 189, 275, 395, 12, 274, 301, 105, 283, 48]",1.183203479514321,1.144222799920162,True
238,0,21,"[9, 313, 331, 413, 13, 494, 234, 364, 300, 397, 33, 365, 352, 167, 287, 301]",1.3259916002384347,6.995619625423205,False
10,0,21,"[9, 23, 159, 352, 25, 331, 287, 212, 37, 172, 11, 224, 163, 413, 229, 27]",1.309164440418813,0.0,False
135,0,21,"[386, 348, 122, 285, 242, 98, 234, 272, 438, 450, 133, 475, 261, 225, 43, 103]",1.441245173859676,0.0,False
68,0,21,"[80, 103, 63, 267, 192, 377, 141, 508, 175, 334, 348, 431, 285, 355, 418, 122]",1.0248994486989909,0.0,False
310,0,21,"[331, 287, 352, 172, 9, 27, 413, 159, 33, 25, 23, 364, 24, 13, 232, 212]",1.1546503672983497,0.0,False
38,0,21,"[331, 9, 33, 23, 352, 287, 159, 37, 172, 27, 11, 224, 210, 212, 189, 25]",1.307161410152073,0.0,False
271,0,21,"[298, 179, 93, 184, 248, 403, 171, 461, 458, 163, 149, 229, 203, 256, 142, 266]",1.2292009987697305,2.329227023940467,False
432,0,21,"[184, 149, 403, 382, 248, 424, 298, 461, 458, 142, 256, 93, 413, 159, 229, 384]",1.3595724025010223,0.0,False
341,0,21,"[163, 297, 171, 93, 203, 27, 179, 256, 229, 17, 13, 365, 403, 461, 458, 364]",1.2674563131027874,0.0,False
119,0,21,"[315, 317, 348, 111, 314, 43, 355, 292, 210, 122, 255, 178, 467, 234, 103, 133]",1.2581572318773488,0.0,False
247,0,21,"[178, 385, 457, 340, 242, 272, 139, 140, 255, 348, 315, 314, 200, 334, 489, 103]",0.9718449591491382,0.5596157879354227,True
332,0,21,"[43, 234, 216, 210, 314, 355, 225, 95, 317, 292, 348, 122, 315, 367, 215, 218]",1.6355419053604607,2.503073953743449,True
333,0,21,"[139, 175, 457, 340, 334, 200, 385, 515, 140, 242, 431, 178, 272, 80, 386, 129]",1.4805992790051168,1.1410330045520618,True
381,0,21,"[403, 163, 171, 461, 458, 179, 203, 298, 297, 93, 229, 248, 256, 424, 184, 430]",1.224604817087874,2.8524391037275145,False
138,0,21,"[203, 171, 297, 17, 473, 298, 412, 179, 229, 403, 93, 274, 291, 163, 256, 301]",1.6482795831773605,0.3074846997479606,False
35,0,21,"[232, 33, 224, 365, 364, 73, 13, 301, 452, 27, 18, 313, 300, 25, 266, 37]",0.45459095656999815,0.0,True
67,0,21,"[103, 63, 80, 267, 192, 377, 141, 508, 175, 334, 348, 431, 355, 418, 122, 242]",1.2231822442869966,0.0,False
391,0,21,"[163, 403, 203, 256, 229, 171, 352, 297, 184, 9, 93, 142, 424, 461, 458, 287]",1.0165164768585357,3.4397768636296306,False
55,0,21,"[481, 230, 317, 218, 314, 504, 74, 355, 490, 234, 315, 43, 319, 210, 292, 225]",1.9951975937584627,0.0,False
