,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class
175,250.0,1000.0,16000.0,1.0,1.0,8.0,50
207,480.0,512.0,8000.0,32.0,0.0,0.0,67
55,110.0,1000.0,12000.0,16.0,1.0,2.0,60
152,35.0,8000.0,32000.0,64.0,8.0,24.0,370
136,50.0,2000.0,16000.0,24.0,6.0,16.0,65
204,124.0,1000.0,8000.0,0.0,1.0,8.0,42
80,330.0,1000.0,3000.0,0.0,2.0,4.0,16
98,26.0,8000.0,16000.0,0.0,8.0,16.0,185
27,320.0,256.0,3000.0,4.0,1.0,3.0,27
127,50.0,2000.0,8000.0,8.0,1.0,6.0,56
199,30.0,8000.0,64000.0,128.0,12.0,176.0,1150
84,330.0,1000.0,4000.0,0.0,3.0,6.0,22
119,25.0,2000.0,12000.0,16.0,3.0,5.0,66
139,115.0,2000.0,4000.0,2.0,1.0,5.0,40
160,56.0,2000.0,6000.0,0.0,1.0,8.0,21
173,250.0,512.0,4000.0,0.0,1.0,7.0,25
110,900.0,1000.0,4000.0,8.0,1.0,2.0,22
174,250.0,512.0,4000.0,0.0,4.0,7.0,50
192,26.0,8000.0,32000.0,128.0,24.0,32.0,405
39,50.0,1000.0,4000.0,8.0,3.0,5.0,26
145,60.0,2000.0,16000.0,64.0,5.0,8.0,74
163,56.0,4000.0,12000.0,0.0,1.0,8.0,42
66,90.0,256.0,1000.0,0.0,3.0,10.0,17
183,105.0,2000.0,4000.0,8.0,3.0,8.0,22
37,50.0,1000.0,4000.0,8.0,1.0,5.0,29
180,160.0,2000.0,8000.0,32.0,1.0,13.0,109
143,75.0,4000.0,16000.0,16.0,1.0,6.0,66
17,143.0,512.0,5000.0,0.0,7.0,32.0,28
86,140.0,2000.0,4000.0,0.0,4.0,8.0,40
193,116.0,2000.0,8000.0,32.0,5.0,28.0,70
6,23.0,16000.0,32000.0,64.0,16.0,32.0,367
63,75.0,2000.0,8000.0,64.0,1.0,38.0,144
2,29.0,8000.0,32000.0,32.0,8.0,32.0,220
196,50.0,2000.0,32000.0,112.0,52.0,104.0,307
1,29.0,8000.0,32000.0,32.0,8.0,32.0,269
168,38.0,8000.0,24000.0,160.0,4.0,8.0,140
51,700.0,256.0,2000.0,0.0,1.0,1.0,24
161,56.0,2000.0,8000.0,0.0,1.0,8.0,24
165,38.0,4000.0,8000.0,32.0,16.0,32.0,51
178,160.0,1000.0,4000.0,8.0,1.0,14.0,38
123,1500.0,768.0,2000.0,0.0,0.0,0.0,18
78,300.0,192.0,768.0,6.0,6.0,24.0,36
10,400.0,1000.0,3000.0,0.0,1.0,2.0,38
69,105.0,2000.0,4000.0,8.0,3.0,19.0,32
148,72.0,4000.0,16000.0,64.0,8.0,16.0,143
154,48.0,4000.0,24000.0,32.0,8.0,24.0,214
134,50.0,2000.0,16000.0,12.0,3.0,16.0,45
151,40.0,8000.0,32000.0,64.0,8.0,24.0,277
49,200.0,512.0,8000.0,8.0,1.0,8.0,62
94,57.0,4000.0,24000.0,64.0,12.0,16.0,237
156,30.0,16000.0,32000.0,256.0,16.0,24.0,510
153,38.0,16000.0,32000.0,128.0,16.0,32.0,510
208,480.0,1000.0,4000.0,0.0,0.0,0.0,45
102,1100.0,512.0,1500.0,0.0,1.0,1.0,7
52,140.0,1000.0,16000.0,16.0,1.0,3.0,138
121,17.0,4000.0,16000.0,32.0,6.0,12.0,133
73,300.0,768.0,3000.0,0.0,6.0,24.0,36
11,400.0,512.0,3500.0,4.0,1.0,6.0,40
108,900.0,512.0,1000.0,0.0,1.0,2.0,11
158,84.0,1000.0,2000.0,0.0,1.0,6.0,12
140,92.0,2000.0,8000.0,32.0,1.0,6.0,62
25,320.0,512.0,2000.0,4.0,1.0,3.0,69
62,125.0,512.0,1000.0,0.0,8.0,20.0,36
198,30.0,8000.0,64000.0,96.0,12.0,176.0,915
14,350.0,64.0,64.0,0.0,1.0,4.0,10
200,180.0,262.0,4000.0,0.0,1.0,3.0,12
77,300.0,384.0,12000.0,6.0,1.0,24.0,53
142,92.0,2000.0,8000.0,4.0,1.0,6.0,50
71,75.0,3000.0,8000.0,8.0,3.0,48.0,64
96,26.0,16000.0,32000.0,64.0,8.0,24.0,465
83,330.0,1000.0,2000.0,0.0,1.0,2.0,16
138,115.0,2000.0,8000.0,16.0,1.0,3.0,50
45,133.0,1000.0,8000.0,9.0,3.0,12.0,72
125,50.0,2000.0,4000.0,0.0,3.0,6.0,27
76,300.0,768.0,4500.0,0.0,1.0,24.0,45
70,75.0,2000.0,8000.0,8.0,3.0,24.0,62
61,800.0,256.0,8000.0,0.0,1.0,4.0,22
99,480.0,96.0,512.0,0.0,1.0,1.0,6
16,167.0,524.0,2000.0,8.0,4.0,15.0,19
4,29.0,8000.0,16000.0,32.0,8.0,16.0,132
131,100.0,1000.0,8000.0,0.0,2.0,6.0,16
59,800.0,256.0,8000.0,0.0,1.0,4.0,20
147,50.0,4000.0,16000.0,64.0,5.0,10.0,111
30,25.0,1310.0,2620.0,131.0,12.0,24.0,274
