,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class
106,400.0,4000.0,8000.0,0.0,1.0,1.0,32
19,110.0,5000.0,5000.0,142.0,8.0,64.0,120
207,480.0,512.0,8000.0,32.0,0.0,0.0,67
5,26.0,8000.0,32000.0,64.0,8.0,32.0,318
152,35.0,8000.0,32000.0,64.0,8.0,24.0,370
140,92.0,2000.0,8000.0,32.0,1.0,6.0,62
100,203.0,1000.0,2000.0,0.0,1.0,5.0,24
47,810.0,1000.0,5000.0,0.0,1.0,1.0,20
153,38.0,16000.0,32000.0,128.0,16.0,32.0,510
62,125.0,512.0,1000.0,0.0,8.0,20.0,36
30,25.0,1310.0,2620.0,131.0,12.0,24.0,274
176,160.0,512.0,4000.0,2.0,1.0,5.0,30
80,330.0,1000.0,3000.0,0.0,2.0,4.0,16
189,59.0,8000.0,16000.0,64.0,12.0,24.0,188
103,1100.0,768.0,2000.0,0.0,1.0,1.0,13
181,240.0,512.0,1000.0,8.0,1.0,3.0,6
138,115.0,2000.0,8000.0,16.0,1.0,3.0,50
56,220.0,1000.0,8000.0,16.0,1.0,2.0,71
133,100.0,1000.0,8000.0,24.0,3.0,6.0,32
139,115.0,2000.0,4000.0,2.0,1.0,5.0,40
60,800.0,256.0,8000.0,0.0,1.0,4.0,16
132,100.0,1000.0,8000.0,24.0,2.0,6.0,26
71,75.0,3000.0,8000.0,8.0,3.0,48.0,64
154,48.0,4000.0,24000.0,32.0,8.0,24.0,214
173,250.0,512.0,4000.0,0.0,1.0,7.0,25
7,23.0,16000.0,32000.0,64.0,16.0,32.0,489
172,200.0,2000.0,8000.0,64.0,1.0,5.0,41
64,75.0,2000.0,16000.0,64.0,1.0,38.0,144
2,29.0,8000.0,32000.0,32.0,8.0,32.0,220
195,50.0,2000.0,32000.0,48.0,26.0,52.0,208
0,125.0,256.0,6000.0,256.0,16.0,128.0,198
161,56.0,2000.0,8000.0,0.0,1.0,8.0,24
170,200.0,1000.0,2000.0,0.0,1.0,2.0,25
32,50.0,2620.0,10480.0,30.0,12.0,24.0,32
26,320.0,256.0,6000.0,0.0,1.0,6.0,33
75,300.0,768.0,12000.0,6.0,6.0,24.0,50
34,56.0,5240.0,20970.0,30.0,12.0,24.0,106
23,110.0,3100.0,6200.0,0.0,6.0,64.0,76
129,50.0,2000.0,16000.0,24.0,1.0,6.0,80
199,30.0,8000.0,64000.0,128.0,12.0,176.0,1150
162,56.0,4000.0,8000.0,0.0,1.0,8.0,34
171,200.0,1000.0,4000.0,0.0,1.0,4.0,30
130,50.0,8000.0,16000.0,48.0,1.0,10.0,136
165,38.0,4000.0,8000.0,32.0,16.0,32.0,51
85,140.0,2000.0,4000.0,0.0,3.0,6.0,29
1,29.0,8000.0,32000.0,32.0,8.0,32.0,269
120,17.0,4000.0,16000.0,8.0,6.0,12.0,100
44,133.0,1000.0,12000.0,9.0,3.0,12.0,72
131,100.0,1000.0,8000.0,0.0,2.0,6.0,16
68,105.0,1000.0,4000.0,0.0,3.0,24.0,32
155,38.0,8000.0,32000.0,64.0,8.0,24.0,326
6,23.0,16000.0,32000.0,64.0,16.0,32.0,367
112,225.0,2000.0,4000.0,8.0,3.0,6.0,40
104,600.0,768.0,2000.0,0.0,1.0,1.0,16
9,23.0,32000.0,64000.0,128.0,32.0,64.0,1144
183,105.0,2000.0,4000.0,8.0,3.0,8.0,22
159,56.0,1000.0,4000.0,0.0,1.0,6.0,17
197,50.0,4000.0,32000.0,112.0,52.0,104.0,397
145,60.0,2000.0,16000.0,64.0,5.0,8.0,74
45,133.0,1000.0,8000.0,9.0,3.0,12.0,72
147,50.0,4000.0,16000.0,64.0,5.0,10.0,111
121,17.0,4000.0,16000.0,32.0,6.0,12.0,133
18,143.0,1000.0,2000.0,0.0,5.0,16.0,31
202,180.0,262.0,4000.0,0.0,1.0,3.0,18
174,250.0,512.0,4000.0,0.0,4.0,7.0,50
201,180.0,512.0,4000.0,0.0,1.0,3.0,14
94,57.0,4000.0,24000.0,64.0,12.0,16.0,237
196,50.0,2000.0,32000.0,112.0,52.0,104.0,307
169,38.0,4000.0,16000.0,128.0,16.0,32.0,212
177,160.0,512.0,2000.0,2.0,3.0,8.0,32
105,400.0,2000.0,4000.0,0.0,1.0,1.0,32
72,175.0,256.0,2000.0,0.0,3.0,24.0,22
144,60.0,4000.0,16000.0,32.0,1.0,6.0,86
14,350.0,64.0,64.0,0.0,1.0,4.0,10
137,150.0,512.0,4000.0,0.0,8.0,128.0,30
200,180.0,262.0,4000.0,0.0,1.0,3.0,12
74,300.0,768.0,3000.0,6.0,6.0,24.0,44
4,29.0,8000.0,16000.0,32.0,8.0,16.0,132
148,72.0,4000.0,16000.0,64.0,8.0,16.0,143
88,140.0,2000.0,32000.0,32.0,1.0,20.0,134
168,38.0,8000.0,24000.0,160.0,4.0,8.0,140
101,115.0,512.0,6000.0,16.0,1.0,6.0,45
125,50.0,2000.0,4000.0,0.0,3.0,6.0,27
158,84.0,1000.0,2000.0,0.0,1.0,6.0,12
