,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,F,I,M,Class,estimatedOutput,lossValue,testID,learningRate,numHiddenNodesPercentage
920,0.4689655172413792,0.47826086956521746,0.07964601769911504,0.14030612244897958,0.12518518518518518,0.13655640373197625,0.10016977928692698,0,1,0,6,7.395098496980308,1.9462998162767156,1,0.01,0.5
1142,0.6896551724137929,0.6782608695652175,0.1504424778761062,0.4005102040816326,0.4059259259259259,0.368108566581849,0.2563667232597623,0,0,1,9,11.076162163550928,4.310449329360468,1,0.01,0.5
1016,0.7655172413793103,0.7478260869565218,0.13716814159292037,0.5007849293563579,0.4711111111111111,0.46564885496183206,0.34917940011318616,0,0,1,8,11.637509616641914,13.231476211162406,1,0.01,0.5
541,0.5034482758620689,0.5217391304347826,0.1017699115044248,0.16208791208791207,0.11666666666666665,0.15606446140797284,0.14657611771363893,1,0,0,11,10.3420461144711,0.432903315482578,1,0.01,0.5
3195,0.6482758620689655,0.6086956521739132,0.15486725663716813,0.38383045525902665,0.19074074074074074,0.3502968617472434,0.42840973401245047,1,0,0,18,12.033282445689967,35.601718372911506,1,0.01,0.5
3171,0.6206896551724137,0.6086956521739132,0.14159292035398233,0.3100470957613815,0.2333333333333333,0.24597116200169633,0.31522354272778724,0,0,1,13,11.00587323723887,3.976541545960185,1,0.01,0.5
2066,0.6413793103448275,0.5739130434782609,0.12389380530973454,0.2996467817896389,0.2411111111111111,0.19592875318066158,0.26598754951895864,1,0,0,10,11.110478019427866,1.233161431632436,1,0.01,0.5
1939,0.7586206896551724,0.6782608695652175,0.14159292035398233,0.42700156985871274,0.33999999999999997,0.5021204410517387,0.34238822863610635,1,0,0,11,11.80529814044424,0.6485050950029506,1,0.01,0.5
3311,0.5586206896551723,0.5652173913043479,0.11946902654867259,0.19819466248037676,0.1411111111111111,0.23070398642917728,0.1737408036219581,1,0,0,12,10.735678280771348,1.5985094097132955,1,0.01,0.5
197,0.7793103448275862,0.773913043478261,0.16371681415929204,0.5107927786499216,0.3285185185185185,0.44614079728583544,0.5246179966044142,0,0,1,16,12.486799834334354,12.342575404033122,1,0.01,0.5
4068,0.46206896551724125,0.4347826086956522,0.08849557522123895,0.10302197802197803,0.07333333333333333,0.1102629346904156,0.09451046972269384,0,1,0,7,7.033120450397535,0.0010969642345355524,1,0.01,0.5
2655,0.6482758620689655,0.6347826086956522,0.12831858407079647,0.304552590266876,0.27666666666666667,0.26123833757421544,0.23033389926428974,0,0,1,7,10.70190883602317,13.704129030226422,1,0.01,0.5
3236,0.3724137931034482,0.4,0.08849557522123895,0.08653846153846154,0.06333333333333332,0.09754028837998303,0.0831918505942275,0,1,0,8,6.697283334334088,1.6970707110037113,1,0.01,0.5
3768,0.6689655172413793,0.7130434782608697,0.12831858407079647,0.3475274725274725,0.24703703703703703,0.37234944868532655,0.30333899264289754,0,0,1,9,11.2789451311697,5.193590910882078,1,0.01,0.5
13,0.6344827586206896,0.6086956521739132,0.12831858407079647,0.26785714285714285,0.2011111111111111,0.2892281594571671,0.23033389926428974,1,0,0,10,11.096902069578602,1.2031941502458212,1,0.01,0.5
256,0.6689655172413793,0.6869565217391305,0.16371681415929204,0.41915227629513346,0.2811111111111111,0.2960135708227311,0.4623655913978494,0,0,1,19,11.929273966617165,49.99516663915776,1,0.01,0.5
1118,0.6344827586206896,0.582608695652174,0.11061946902654868,0.23430141287284142,0.19148148148148147,0.25190839694656486,0.18958687040181096,0,1,0,9,9.563559030384832,0.3175987807282921,1,0.01,0.5
3069,0.8,0.8434782608695653,0.14601769911504428,0.5498430141287284,0.5144444444444444,0.40373197625106017,0.47368421052631576,0,0,1,11,12.177846520313688,1.3873224254150627,1,0.01,0.5
2152,0.44827586206896547,0.42608695652173917,0.1017699115044248,0.11793563579277865,0.09814814814814815,0.07803223070398642,0.1041312959818902,1,0,0,8,9.50919178308032,2.277659838117156,1,0.01,0.5
444,0.46206896551724125,0.4695652173913044,0.09292035398230089,0.14187598116169545,0.11703703703703704,0.1297709923664122,0.13412563667232597,1,0,0,10,10.009600883808229,9.217696989911569e-05,1,0.01,0.5
