,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,F,I,M,Class,estimatedOutput,lossValue,testID,learningRate,numHiddenNodesPercentage
1503,0.7928571428571428,0.7767857142857144,0.9347826086956522,0.4724632548255711,0.5460024106066693,0.4587400177462289,0.36069235064209937,1,0,0,10,12.249440831205355,5.059984053093839,1,0.001,0.5
3478,0.5142857142857142,0.5000000000000001,0.4347826086956522,0.14485567557995394,0.1619124146243471,0.1668145519077196,0.10999441652707984,0,1,0,7,8.003440534249414,1.0068929057747493,1,0.001,0.5
351,0.7285714285714285,0.705357142857143,0.6956521739130436,0.3068886134230565,0.26637203696263556,0.28926353149955636,0.2998324958123953,1,0,0,22,11.059940238378081,119.68490758785904,1,0.001,0.5
3883,0.6642857142857143,0.6607142857142858,0.4782608695652174,0.28864884009208425,0.2358376858175974,0.2706299911268855,0.21608040201005024,0,0,1,10,10.095590646089764,0.009137571619858594,1,0.001,0.5
2573,0.5714285714285713,0.5357142857142857,0.4130434782608696,0.1650433858686028,0.16070711128967455,0.19698314108251996,0.13232830820770516,0,1,0,8,8.222137928751831,0.04934525939015356,1,0.001,0.5
1748,0.8999999999999999,0.8750000000000002,0.6956521739130436,0.5588808216752258,0.5162715950180794,0.8092280390417037,0.294249022892239,1,0,0,11,12.308043916005346,1.7109788861986004,1,0.001,0.5
733,0.6142857142857142,0.5803571428571429,0.5217391304347827,0.23162741278554985,0.18159903575733224,0.31588287488908606,0.24399776661083192,0,0,1,13,9.930537170764612,9.42160206005771,1,0.001,0.5
2020,0.6285714285714286,0.6160714285714287,0.5652173913043479,0.22365857977687265,0.23061470470068296,0.256433007985803,0.18592964824120603,0,0,1,9,10.02879971996464,1.058428863799322,1,0.001,0.5
2905,0.7142857142857142,0.705357142857143,0.6739130434782609,0.3412431379493536,0.39935717155484124,0.3362910381543922,0.2551647124511446,0,0,1,8,10.913886879255076,8.490736745094884,1,0.001,0.5
797,0.5214285714285714,0.5000000000000001,0.4347826086956522,0.13883477952895343,0.12535154680594615,0.16947648624667258,0.1345616973757677,0,0,1,9,9.024573998904053,0.0006038814221363974,1,0.001,0.5
