,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
2181,M,0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26,16
980,F,0.55,0.445,0.155,0.9905,0.544,0.178,0.218,9
3832,F,0.46,0.365,0.115,0.4485,0.165,0.083,0.17,14
4045,M,0.59,0.45,0.16,0.998,0.445,0.214,0.301,9
1005,M,0.605,0.475,0.155,1.161,0.572,0.2455,0.275,9
1115,M,0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201,9
1591,M,0.525,0.415,0.145,0.845,0.3525,0.1635,0.2875,8
1836,I,0.415,0.31,0.09,0.2815,0.1245,0.0615,0.085,6
3841,M,0.5,0.42,0.125,0.62,0.255,0.15,0.205,11
1612,I,0.55,0.425,0.15,0.639,0.269,0.1345,0.217,9
4002,I,0.485,0.375,0.125,0.562,0.2505,0.1345,0.1525,8
882,M,0.655,0.58,0.205,2.0805,0.959,0.3415,0.601,17
2143,M,0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155,10
466,F,0.67,0.55,0.19,1.3905,0.5425,0.3035,0.4,12
3463,M,0.625,0.485,0.17,1.437,0.5855,0.293,0.475,11
1938,M,0.625,0.505,0.185,1.1565,0.52,0.2405,0.3535,10
3441,F,0.465,0.355,0.115,0.4705,0.1955,0.118,0.126,7
1169,F,0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,8
1977,F,0.7,0.575,0.205,1.773,0.605,0.447,0.538,13
4055,F,0.645,0.5,0.15,1.159,0.4675,0.3355,0.31,9
1201,M,0.72,0.565,0.145,1.187,0.691,0.1945,0.2685,8
3091,M,0.495,0.38,0.12,0.474,0.197,0.1065,0.1545,10
3569,I,0.58,0.47,0.15,0.907,0.444,0.1855,0.2445,11
206,I,0.4,0.3,0.11,0.315,0.109,0.067,0.12,9
3711,M,0.705,0.55,0.21,1.4385,0.655,0.3255,0.462,11
2363,M,0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,18
1681,F,0.62,0.54,0.165,1.139,0.4995,0.2435,0.357,11
2565,I,0.45,0.35,0.12,0.468,0.2005,0.1065,0.1325,8
961,F,0.505,0.39,0.13,0.674,0.3165,0.141,0.1785,9
896,I,0.255,0.18,0.055,0.083,0.031,0.0215,0.02,4
1314,I,0.55,0.435,0.14,0.7535,0.3285,0.1555,0.2325,10
2630,I,0.355,0.285,0.095,0.2275,0.0955,0.0475,0.0715,6
2023,F,0.53,0.405,0.13,0.6355,0.2635,0.1565,0.185,9
777,M,0.49,0.38,0.14,0.6385,0.2305,0.142,0.195,13
2594,F,0.595,0.465,0.15,1.0765,0.491,0.22,0.287,9
3562,F,0.57,0.42,0.16,0.8875,0.4315,0.1915,0.223,8
