,buying,maint,doors,persons,lug_boot,safety,Class,estimatedOutput,lossValue,testID,learningRate,numHiddenNodesPercentage
1473,0,2,2,1,2,0,unacc,unacc,0.15673094647061978,1,0.01,0.75
248,3,1,1,0,1,2,unacc,unacc,0.1561725491327114,1,0.01,0.75
1236,1,0,1,2,1,0,unacc,unacc,0.15695000477898116,1,0.01,0.75
846,2,0,3,1,0,0,unacc,unacc,0.15632910227739544,1,0.01,0.75
469,2,3,1,1,0,1,unacc,unacc,0.15583810161012335,1,0.01,0.75
636,2,2,3,1,2,0,unacc,unacc,0.1561209836832029,1,0.01,0.75
4,3,3,0,0,1,1,unacc,unacc,0.15537313736646402,1,0.01,0.75
123,3,2,0,1,2,0,unacc,unacc,0.15567525905236937,1,0.01,0.75
1614,0,1,3,2,1,0,unacc,unacc,0.15712380120822,1,0.01,0.75
1063,1,2,3,1,0,1,unacc,unacc,0.15648187903586305,1,0.01,0.75
1109,1,1,1,0,0,2,unacc,unacc,0.15669201763026347,1,0.01,0.75
76,3,3,2,2,1,1,unacc,unacc,0.1559304602338708,1,0.01,0.75
729,2,1,3,0,0,0,unacc,unacc,0.1558511233353111,1,0.01,0.75
518,2,3,3,0,1,2,unacc,unacc,0.1561089409082456,1,0.01,0.75
1317,0,3,0,2,1,0,unacc,unacc,0.1565199526666848,1,0.01,0.75
183,3,2,2,2,1,0,unacc,unacc,0.15586739097110155,1,0.01,0.75
499,2,3,2,1,1,1,unacc,unacc,0.1560107823148199,1,0.01,0.75
1012,1,2,1,1,1,1,unacc,unacc,0.15653029016297268,1,0.01,0.75
1593,0,1,3,0,0,0,unacc,unacc,0.15649933326076215,1,0.01,0.75
1476,0,2,2,2,0,0,unacc,unacc,0.1567097018595359,1,0.01,0.75
1034,1,2,2,0,2,2,unacc,unacc,0.1567630516805056,1,0.01,0.75
536,2,3,3,2,1,2,unacc,unacc,0.15659767750324058,1,0.01,0.75
1628,0,0,0,0,2,2,unacc,unacc,0.15747971277644132,1,0.01,0.75
1344,0,3,1,2,1,0,unacc,unacc,0.15656237825155897,1,0.01,0.75
516,2,3,3,0,1,0,unacc,unacc,0.15551847218922177,1,0.01,0.75
453,2,3,0,2,1,0,unacc,unacc,0.15587134353932458,1,0.01,0.75
694,2,1,1,2,0,1,unacc,unacc,0.15655341854261864,1,0.01,0.75
1704,0,0,3,0,1,0,unacc,unacc,0.1568710432572342,1,0.01,0.75
1578,0,1,2,1,1,0,unacc,unacc,0.15683587685635297,1,0.01,0.75
354,3,0,1,0,1,0,unacc,unacc,0.1558114737091698,1,0.01,0.75
479,2,3,1,2,0,2,unacc,unacc,0.1563797692124599,1,0.01,0.75
112,3,2,0,0,1,1,unacc,unacc,0.15560133030215587,1,0.01,0.75
858,2,0,3,2,1,0,unacc,unacc,0.15670751591506826,1,0.01,0.75
506,2,3,2,2,0,2,unacc,unacc,0.15642209256550088,1,0.01,0.75
1512,0,1,0,0,0,0,unacc,unacc,0.15637225440729743,1,0.01,0.75
977,1,2,0,0,1,2,unacc,unacc,0.15654472463863037,1,0.01,0.75
490,2,3,2,0,1,1,unacc,unacc,0.15577010943229422,1,0.01,0.75
976,1,2,0,0,1,1,unacc,unacc,0.1562432953634074,1,0.01,0.75
1574,0,1,2,0,2,2,unacc,unacc,0.15732768757439938,1,0.01,0.75
463,2,3,1,0,1,1,unacc,unacc,0.15572874540562812,1,0.01,0.75
205,3,2,3,1,2,1,unacc,unacc,0.1560965185771717,1,0.01,0.75
369,3,0,1,2,0,0,unacc,unacc,0.15616363453699078,1,0.01,0.75
1330,0,3,1,0,2,1,unacc,unacc,0.15650718588708404,1,0.01,0.75
438,2,3,0,0,2,0,unacc,unacc,0.15552418022812672,1,0.01,0.75
140,3,2,1,0,1,2,unacc,unacc,0.15593746524819907,1,0.01,0.75
1443,0,2,1,1,1,0,unacc,unacc,0.15655506973156003,1,0.01,0.75
1104,1,1,0,2,2,0,unacc,unacc,0.15680262242999368,1,0.01,0.75
807,2,0,1,2,2,0,unacc,unacc,0.15675602649173048,1,0.01,0.75
274,3,1,2,0,1,1,unacc,unacc,0.1559160314795911,1,0.01,0.75
234,3,1,0,2,0,0,unacc,unacc,0.15588688619030402,1,0.01,0.75
1706,0,0,3,0,1,2,unacc,unacc,0.15747378230902082,1,0.01,0.75
1396,0,3,3,2,0,1,unacc,unacc,0.15681643948765359,1,0.01,0.75
948,1,3,3,0,1,0,unacc,unacc,0.15583569545617515,1,0.01,0.75
739,2,1,3,1,0,1,unacc,unacc,0.15639308428969545,1,0.01,0.75
185,3,2,2,2,1,2,unacc,unacc,0.15646636192458263,1,0.01,0.75
652,2,1,0,0,1,1,unacc,unacc,0.15615499263101668,1,0.01,0.75
1546,0,1,1,0,2,1,unacc,unacc,0.15698374985318603,1,0.01,0.75
1323,0,3,1,0,0,0,unacc,unacc,0.15594241828092553,1,0.01,0.75
844,2,0,3,0,2,1,unacc,unacc,0.15665223408474402,1,0.01,0.75
405,3,0,3,0,0,0,unacc,unacc,0.15576420932100563,1,0.01,0.75
415,3,0,3,1,0,1,unacc,unacc,0.15630445674592225,1,0.01,0.75
1554,0,1,1,1,2,0,unacc,unacc,0.1569268566383084,1,0.01,0.75
527,2,3,3,1,1,2,unacc,unacc,0.15635264065380308,1,0.01,0.75
1387,0,3,3,1,0,1,unacc,unacc,0.15657080128844775,1,0.01,0.75
1404,0,2,0,0,0,0,unacc,unacc,0.15613555971427978,1,0.01,0.75
1125,1,1,1,2,0,0,unacc,unacc,0.15657820207435005,1,0.01,0.75
738,2,1,3,1,0,0,unacc,unacc,0.15609271974475708,1,0.01,0.75
1698,0,0,2,2,2,0,unacc,unacc,0.15745112271579678,1,0.01,0.75
531,2,3,3,2,0,0,unacc,unacc,0.15586550529757562,1,0.01,0.75
1587,0,1,2,2,1,0,unacc,unacc,0.15708141274877854,1,0.01,0.75
693,2,1,1,2,0,0,unacc,unacc,0.15625193466607562,1,0.01,0.75
650,2,1,0,0,0,2,unacc,unacc,0.15632289284440107,1,0.01,0.75
120,3,2,0,1,1,0,unacc,unacc,0.15554638901314105,1,0.01,0.75
1709,0,0,3,0,2,2,unacc,unacc,0.15760540148839253,1,0.01,0.75
1220,1,0,1,0,1,2,unacc,unacc,0.15706376264191899,1,0.01,0.75
1650,0,0,1,0,1,0,unacc,unacc,0.15678606790840866,1,0.01,0.75
375,3,0,1,2,2,0,unacc,unacc,0.15642892401386688,1,0.01,0.75
870,1,3,0,0,2,0,unacc,unacc,0.15584154894471122,1,0.01,0.75
564,2,2,0,2,2,0,unacc,unacc,0.15623811049061462,1,0.01,0.75
157,3,2,1,2,1,1,unacc,unacc,0.1561234401265058,1,0.01,0.75
1033,1,2,2,0,2,1,unacc,unacc,0.15646070442232465,1,0.01,0.75
1026,1,2,2,0,0,0,unacc,unacc,0.15589671618503217,1,0.01,0.75
714,2,1,2,1,1,0,unacc,unacc,0.15618274610229413,1,0.01,0.75
559,2,2,0,2,0,1,unacc,unacc,0.15627357651591825,1,0.01,0.75
1218,1,0,1,0,1,0,unacc,unacc,0.15645885909279872,1,0.01,0.75
1425,0,2,0,2,1,0,unacc,unacc,0.15675821318747046,1,0.01,0.75
580,2,2,1,1,1,1,unacc,unacc,0.1562043542179728,1,0.01,0.75
918,1,3,2,0,0,0,unacc,unacc,0.1556644172060572,1,0.01,0.75
177,3,2,2,1,2,0,unacc,unacc,0.1557578409125603,1,0.01,0.75
866,1,3,0,0,0,2,unacc,unacc,0.15617468383812766,1,0.01,0.75
1326,0,3,1,0,1,0,unacc,unacc,0.15607390049996636,1,0.01,0.75
1611,0,1,3,2,0,0,unacc,unacc,0.15699054458013306,1,0.01,0.75
1461,0,2,2,0,1,0,unacc,unacc,0.1563524206696638,1,0.01,0.75
67,3,3,2,1,1,1,unacc,unacc,0.15569070165745788,1,0.01,0.75
103,3,3,3,2,1,1,unacc,unacc,0.15597221084483384,1,0.01,0.75
1333,0,3,1,1,0,1,unacc,unacc,0.15648596844086113,1,0.01,0.75
604,2,2,2,1,0,1,unacc,unacc,0.1561142742705841,1,0.01,0.75
145,3,2,1,1,0,1,unacc,unacc,0.15575126637972578,1,0.01,0.75
952,1,3,3,0,2,1,unacc,unacc,0.15626573659940576,1,0.01,0.75
96,3,3,3,1,2,0,unacc,unacc,0.15556825597589383,1,0.01,0.75
476,2,3,1,1,2,2,unacc,unacc,0.1564009273956948,1,0.01,0.75
466,2,3,1,0,2,1,unacc,unacc,0.15585893508430906,1,0.01,0.75
992,1,2,0,2,0,2,unacc,unacc,0.1569025466226547,1,0.01,0.75
179,3,2,2,1,2,2,unacc,unacc,0.15635455041866148,1,0.01,0.75
847,2,0,3,1,0,1,unacc,unacc,0.15663099720419107,1,0.01,0.75
1045,1,2,2,2,0,1,unacc,unacc,0.1566848811819758,1,0.01,0.75
1539,0,1,1,0,0,0,unacc,unacc,0.15641458265861577,1,0.01,0.75
696,2,1,1,2,1,0,unacc,unacc,0.15638467349956658,1,0.01,0.75
1182,1,1,3,2,1,0,unacc,unacc,0.1567965967276671,1,0.01,0.75
899,1,3,1,0,2,2,unacc,unacc,0.1564824289754871,1,0.01,0.75
1395,0,3,3,2,0,0,unacc,unacc,0.15651394282140715,1,0.01,0.75
433,2,3,0,0,0,1,unacc,unacc,0.1555585047129885,1,0.01,0.75
346,3,0,0,2,1,1,unacc,unacc,0.15655533646310374,1,0.01,0.75
631,2,2,3,1,0,1,unacc,unacc,0.15615631473339242,1,0.01,0.75
1027,1,2,2,0,0,1,unacc,unacc,0.1561951853617125,1,0.01,0.75
37,3,3,1,1,0,1,unacc,unacc,0.15552088898970495,1,0.01,0.75
65,3,3,2,1,0,2,unacc,unacc,0.15585553695283078,1,0.01,0.75
919,1,3,2,0,0,1,unacc,unacc,0.15595986207348667,1,0.01,0.75
378,3,0,2,0,0,0,unacc,unacc,0.1557228598652948,1,0.01,0.75
1515,0,1,0,0,1,0,unacc,unacc,0.1565053443887567,1,0.01,0.75
1239,1,0,1,2,2,0,unacc,unacc,0.15708332728709537,1,0.01,0.75
840,2,0,3,0,1,0,unacc,unacc,0.15621761196785233,1,0.01,0.75
142,3,2,1,0,2,1,unacc,unacc,0.155771981228457,1,0.01,0.75
524,2,3,3,1,0,2,unacc,unacc,0.15622003352478206,1,0.01,0.75
685,2,1,1,1,0,1,unacc,unacc,0.15630851318357133,1,0.01,0.75
1320,0,3,0,2,2,0,unacc,unacc,0.1566533054806086,1,0.01,0.75
1596,0,1,3,0,1,0,unacc,unacc,0.1566326576761226,1,0.01,0.75
1141,1,1,2,0,2,1,unacc,unacc,0.15669881023961058,1,0.01,0.75
1206,1,0,0,2,0,0,unacc,unacc,0.1567740508455287,1,0.01,0.75
1686,0,0,2,1,1,0,unacc,unacc,0.15707411427146256,1,0.01,0.75
