,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class
173,250.0,512.0,4000.0,0.0,1.0,7.0,25
93,57.0,4000.0,16000.0,1.0,6.0,12.0,132
157,112.0,1000.0,1000.0,0.0,1.0,4.0,8
27,320.0,256.0,3000.0,4.0,1.0,3.0,27
103,1100.0,768.0,2000.0,0.0,1.0,1.0,13
150,40.0,8000.0,16000.0,32.0,8.0,16.0,214
167,38.0,8000.0,16000.0,64.0,4.0,8.0,100
174,250.0,512.0,4000.0,0.0,4.0,7.0,50
24,320.0,128.0,6000.0,0.0,1.0,12.0,23
3,29.0,8000.0,32000.0,32.0,8.0,32.0,172
188,59.0,4000.0,12000.0,32.0,6.0,12.0,113
192,26.0,8000.0,32000.0,128.0,24.0,32.0,405
57,800.0,256.0,8000.0,0.0,1.0,4.0,12
85,140.0,2000.0,4000.0,0.0,3.0,6.0,29
169,38.0,4000.0,16000.0,128.0,16.0,32.0,212
196,50.0,2000.0,32000.0,112.0,52.0,104.0,307
145,60.0,2000.0,16000.0,64.0,5.0,8.0,74
158,84.0,1000.0,2000.0,0.0,1.0,6.0,12
69,105.0,2000.0,4000.0,8.0,3.0,19.0,32
195,50.0,2000.0,32000.0,48.0,26.0,52.0,208
162,56.0,4000.0,8000.0,0.0,1.0,8.0,34
128,50.0,2000.0,16000.0,24.0,1.0,6.0,70
117,225.0,1000.0,4000.0,2.0,3.0,6.0,24
156,30.0,16000.0,32000.0,256.0,16.0,24.0,510
136,50.0,2000.0,16000.0,24.0,6.0,16.0,65
2,29.0,8000.0,32000.0,32.0,8.0,32.0,220
50,700.0,384.0,8000.0,0.0,1.0,1.0,24
171,200.0,1000.0,4000.0,0.0,1.0,4.0,30
64,75.0,2000.0,16000.0,64.0,1.0,38.0,144
182,240.0,512.0,2000.0,8.0,1.0,5.0,11
96,26.0,16000.0,32000.0,64.0,8.0,24.0,465
163,56.0,4000.0,12000.0,0.0,1.0,8.0,42
109,900.0,1000.0,4000.0,4.0,1.0,2.0,18
16,167.0,524.0,2000.0,8.0,4.0,15.0,19
148,72.0,4000.0,16000.0,64.0,8.0,16.0,143
6,23.0,16000.0,32000.0,64.0,16.0,32.0,367
60,800.0,256.0,8000.0,0.0,1.0,4.0,16
86,140.0,2000.0,4000.0,0.0,4.0,8.0,40
106,400.0,4000.0,8000.0,0.0,1.0,1.0,32
19,110.0,5000.0,5000.0,142.0,8.0,64.0,120
17,143.0,512.0,5000.0,0.0,7.0,32.0,28
87,140.0,2000.0,4000.0,8.0,1.0,20.0,35
