,xLoc,yLoc,xVel,yVel,xVelAdj,yVelAdj,xAccel,yAccel,nextXSuccess,nextYSuccess,landingTypeSuccess,nextXFail,nextYFail,landingTypeFail,nextXVelSuccess,nextYVelSuccess,nextXVelFail,nextYVelFail,QValue,currentStateValueMap,landingTypeCurrent,successValueMap,failValueMap
0,1,13,-5,-5,-5,-5,-1,-1,1,13,#,1,13,#,0,0,0,0,0,484,.,544,544
1,1,13,-5,-5,-5,-5,-1,0,1,13,#,1,13,#,0,0,0,0,0,484,.,544,544
2,1,13,-5,-5,-5,-5,0,-1,1,13,#,1,13,#,0,0,0,0,0,484,.,544,544
3,1,13,-5,-5,-5,-5,0,0,1,13,#,1,13,#,0,0,0,0,0,484,.,544,544
4,1,13,-5,-5,-5,-4,-1,1,1,13,#,1,13,#,0,0,0,0,0,484,.,544,544
5,1,13,-5,-5,-5,-4,0,1,1,13,#,1,13,#,0,0,0,0,0,484,.,544,544
6,1,13,-5,-5,-4,-5,1,-1,1,13,#,1,13,#,0,0,0,0,0,484,.,544,544
7,1,13,-5,-5,-4,-5,1,0,1,13,#,1,13,#,0,0,0,0,0,484,.,544,544
8,1,13,-5,-5,-4,-4,1,1,1,13,#,1,13,#,0,0,0,0,0,484,.,544,544
9,1,13,-5,-4,-5,-5,-1,-1,1,13,#,1,13,#,0,0,0,0,0,485,.,544,544
10,1,13,-5,-4,-5,-5,0,-1,1,13,#,1,13,#,0,0,0,0,0,485,.,544,544
11,1,13,-5,-4,-5,-4,-1,0,1,13,#,1,13,#,0,0,0,0,0,485,.,544,544
12,1,13,-5,-4,-5,-4,0,0,1,13,#,1,13,#,0,0,0,0,0,485,.,544,544
13,1,13,-5,-4,-5,-3,-1,1,1,13,#,1,13,#,0,0,0,0,0,485,.,544,544
14,1,13,-5,-4,-5,-3,0,1,1,13,#,1,13,#,0,0,0,0,0,485,.,544,544
15,1,13,-5,-4,-4,-5,1,-1,1,13,#,1,13,#,0,0,0,0,0,485,.,544,544
16,1,13,-5,-4,-4,-4,1,0,1,13,#,1,13,#,0,0,0,0,0,485,.,544,544
17,1,13,-5,-4,-4,-3,1,1,1,13,#,1,13,#,0,0,0,0,0,485,.,544,544
