,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
2,F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9
3,M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10
4,I,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,7
5,I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8
11,M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10
13,F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10
18,M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7
19,M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9
21,I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10
26,F,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11
30,M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10
31,F,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15
32,M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18
37,F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8
41,F,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14
43,I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5
45,I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7
47,F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7
51,M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7
57,M,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8
58,I,0.245,0.19,0.06,0.086,0.042,0.014,0.025,4
59,F,0.505,0.4,0.125,0.583,0.246,0.13,0.175,7
62,F,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10
63,M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7
65,M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8
67,F,0.595,0.495,0.185,1.285,0.416,0.224,0.485,13
68,F,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10
70,M,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13
71,F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8
72,F,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20
74,F,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13
75,F,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15
76,M,0.595,0.475,0.14,0.944,0.3625,0.189,0.315,9
83,M,0.595,0.475,0.16,1.3175,0.408,0.234,0.58,21
88,F,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9
90,M,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15
91,M,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12
92,M,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13
93,F,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10
94,M,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15
99,F,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10
100,I,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,7
103,M,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,10
105,F,0.52,0.41,0.155,0.727,0.291,0.1835,0.235,12
106,F,0.545,0.43,0.165,0.802,0.2935,0.183,0.28,11
108,F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9
110,M,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9
111,M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9
112,I,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9
115,F,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11
118,F,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9
120,F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9
122,F,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14
125,I,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5
127,I,0.385,0.29,0.085,0.2505,0.112,0.061,0.08,8
131,F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9
132,F,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7
133,I,0.35,0.26,0.095,0.211,0.086,0.056,0.068,7
134,I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7
135,F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8
138,F,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,9
139,M,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9
140,F,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10
142,M,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16
150,M,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15
151,F,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9
153,F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10
155,M,0.515,0.405,0.13,0.722,0.32,0.131,0.21,10
163,F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,18
165,M,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14
167,F,0.68,0.57,0.205,1.842,0.625,0.408,0.65,20
170,M,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14
176,I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5
181,M,0.64,0.51,0.175,1.368,0.515,0.266,0.57,21
182,F,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,10
186,F,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12
187,F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10
191,M,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12
199,M,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10
200,F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9
202,F,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,12
209,I,0.37,0.28,0.095,0.2655,0.122,0.052,0.08,7
210,F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10
212,F,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,12
217,I,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7
224,I,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,10
225,F,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,9
226,F,0.39,0.29,0.125,0.3055,0.121,0.082,0.09,7
228,F,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,11
231,M,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14
232,M,0.625,0.505,0.215,1.4455,0.496,0.287,0.435,22
233,I,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,7
235,I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9
238,I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,3
239,I,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5
240,M,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17
241,I,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,5
243,I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8
246,I,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,13
247,I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9
248,I,0.305,0.245,0.075,0.156,0.0675,0.038,0.045,7
249,I,0.345,0.27,0.11,0.2135,0.082,0.0545,0.07,7
250,I,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,7
253,F,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,15
256,M,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,19
259,F,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,13
261,F,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,12
262,M,0.53,0.42,0.165,0.8945,0.319,0.239,0.245,11
265,F,0.46,0.38,0.13,0.639,0.3,0.1525,0.16,11
266,M,0.52,0.45,0.15,0.895,0.3615,0.186,0.235,14
267,M,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,8
268,M,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,9
269,F,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,13
271,M,0.59,0.5,0.2,1.187,0.412,0.2705,0.37,16
274,M,0.63,0.515,0.155,1.259,0.4105,0.197,0.41,13
277,M,0.61,0.5,0.24,1.642,0.532,0.3345,0.69,18
