,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
2225,M,0.59,0.475,0.155,0.857,0.356,0.174,0.28,13
2014,I,0.47,0.375,0.105,0.441,0.167,0.0865,0.145,10
4005,F,0.555,0.43,0.14,0.7545,0.3525,0.1835,0.2015,9
887,F,0.675,0.525,0.155,1.4785,0.628,0.3405,0.42,9
2157,M,0.62,0.495,0.175,1.806,0.643,0.3285,0.725,17
1799,M,0.6,0.465,0.165,1.038,0.4975,0.2205,0.251,9
2360,F,0.545,0.44,0.175,0.7745,0.2985,0.1875,0.265,11
1358,I,0.605,0.485,0.15,1.238,0.6315,0.226,0.33,11
86,M,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13
1760,F,0.75,0.565,0.215,1.938,0.7735,0.4825,0.575,11
624,I,0.465,0.36,0.105,0.498,0.214,0.116,0.14,15
1599,I,0.53,0.42,0.13,0.8365,0.3745,0.167,0.249,11
1660,M,0.6,0.47,0.165,1.059,0.504,0.241,0.275,9
3183,M,0.565,0.44,0.115,0.9185,0.404,0.1785,0.29,11
251,M,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13
3281,M,0.55,0.45,0.17,0.81,0.317,0.157,0.22,11
2679,F,0.615,0.47,0.155,1.084,0.5885,0.209,0.246,9
2009,I,0.43,0.32,0.11,0.3675,0.1675,0.102,0.105,8
2145,F,0.415,0.325,0.115,0.3455,0.1405,0.0765,0.11,9
1450,I,0.455,0.335,0.135,0.501,0.274,0.0995,0.1065,7
4054,F,0.635,0.5,0.18,1.2565,0.539,0.292,0.35,10
3044,I,0.575,0.445,0.16,0.9175,0.45,0.1935,0.24,9
3030,I,0.52,0.395,0.115,0.6445,0.3155,0.1245,0.186,11
2251,M,0.6,0.485,0.175,1.2675,0.4995,0.2815,0.38,13
2049,I,0.445,0.32,0.12,0.378,0.152,0.0825,0.12,8
2561,I,0.44,0.345,0.115,0.545,0.269,0.111,0.1305,6
2548,I,0.275,0.195,0.07,0.0875,0.0345,0.022,0.0255,4
2644,I,0.49,0.375,0.125,0.5445,0.279,0.115,0.13,8
1736,F,0.67,0.52,0.19,1.32,0.5235,0.3095,0.4275,13
1797,I,0.585,0.45,0.15,0.8915,0.3975,0.2035,0.253,8
2073,F,0.58,0.435,0.15,0.839,0.3485,0.207,0.192,7
1397,M,0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725,10
1816,F,0.675,0.53,0.175,1.4465,0.6775,0.33,0.389,10
4123,I,0.49,0.375,0.115,0.557,0.2275,0.1335,0.1765,8
4048,F,0.625,0.495,0.16,1.234,0.6335,0.192,0.35,13
2193,I,0.215,0.17,0.055,0.0605,0.0205,0.014,0.02,6
4077,I,0.55,0.435,0.125,0.741,0.348,0.1585,0.206,9
1062,I,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034,5
2589,M,0.575,0.45,0.155,0.948,0.429,0.206,0.259,7
1347,I,0.59,0.445,0.135,0.7715,0.328,0.1745,0.23,9
3569,I,0.58,0.47,0.15,0.907,0.444,0.1855,0.2445,11
1837,I,0.415,0.31,0.1,0.2805,0.114,0.0565,0.0975,6
1894,M,0.57,0.46,0.155,1.0005,0.454,0.205,0.265,11
2415,M,0.4,0.315,0.105,0.287,0.1135,0.037,0.113,10
3720,F,0.38,0.32,0.115,0.6475,0.323,0.1325,0.164,7
3227,F,0.45,0.35,0.135,0.56,0.231,0.137,0.145,13
706,M,0.315,0.25,0.09,0.203,0.0615,0.037,0.0795,11
233,I,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,7
3515,F,0.69,0.525,0.19,1.492,0.6425,0.3905,0.42,12
4093,M,0.63,0.485,0.18,1.2435,0.5175,0.308,0.37,11
1047,F,0.705,0.535,0.18,1.685,0.693,0.42,0.4045,12
3490,M,0.535,0.42,0.16,0.7465,0.348,0.1515,0.2185,10
451,F,0.675,0.535,0.16,1.41,0.592,0.3175,0.42,16
1258,I,0.43,0.315,0.095,0.378,0.175,0.08,0.1045,8
1756,F,0.725,0.565,0.21,2.1425,1.03,0.487,0.503,14
2755,F,0.525,0.415,0.15,0.7055,0.329,0.147,0.199,10
3927,I,0.5,0.38,0.155,0.6675,0.2745,0.156,0.18,12
3749,I,0.43,0.33,0.095,0.32,0.118,0.065,0.123,7
1453,I,0.47,0.35,0.125,0.4315,0.19,0.1165,0.1175,6
775,M,0.53,0.41,0.165,0.732,0.189,0.17,0.31,11
2769,I,0.565,0.43,0.15,0.8215,0.332,0.1685,0.29,11
1114,I,0.525,0.4,0.14,0.601,0.2625,0.1285,0.1835,9
1854,I,0.495,0.375,0.14,0.494,0.181,0.0975,0.191,8
2194,I,0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12,13
135,F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8
1683,F,0.62,0.48,0.18,1.2215,0.582,0.2695,0.313,12
1030,F,0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10
1053,I,0.185,0.13,0.045,0.029,0.012,0.0075,0.0095,4
1585,I,0.515,0.36,0.125,0.4725,0.1815,0.125,0.138,9
1870,I,0.53,0.43,0.14,0.677,0.298,0.0965,0.23,8
413,M,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24,12
143,M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11
1646,I,0.58,0.445,0.125,0.7095,0.303,0.1405,0.235,9
763,M,0.64,0.51,0.19,1.613,0.6215,0.361,0.47,14
3132,F,0.685,0.53,0.17,1.5105,0.7385,0.3525,0.3725,10
1378,F,0.62,0.5,0.15,1.293,0.596,0.3135,0.354,10
1058,I,0.245,0.18,0.065,0.071,0.03,0.013,0.0215,4
302,M,0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,8
3459,M,0.615,0.505,0.19,1.403,0.6715,0.2925,0.365,8
3841,M,0.5,0.42,0.125,0.62,0.255,0.15,0.205,11
103,M,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,10
463,I,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02,5
3042,I,0.575,0.43,0.13,0.7425,0.2895,0.2005,0.22,8
844,M,0.525,0.395,0.13,0.7635,0.3375,0.1425,0.225,8
3536,I,0.425,0.325,0.11,0.405,0.1695,0.092,0.1065,8
2445,M,0.5,0.38,0.135,0.5835,0.2295,0.1265,0.18,12
2006,I,0.405,0.25,0.09,0.2875,0.128,0.063,0.0805,7
997,M,0.59,0.47,0.16,1.206,0.479,0.2425,0.309,8
3968,I,0.375,0.29,0.095,0.2875,0.123,0.0605,0.08,6
142,M,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16
1337,M,0.58,0.46,0.155,1.4395,0.6715,0.273,0.2955,10
347,I,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,6
4135,F,0.6,0.5,0.17,1.13,0.4405,0.267,0.335,11
1986,I,0.135,0.13,0.04,0.029,0.0125,0.0065,0.008,4
3462,F,0.625,0.47,0.17,1.255,0.525,0.2415,0.405,10
1260,I,0.44,0.34,0.12,0.438,0.2115,0.083,0.12,9
2723,I,0.385,0.3,0.125,0.343,0.1705,0.0735,0.081,7
2966,M,0.67,0.54,0.175,1.482,0.739,0.2925,0.365,10
1084,I,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,7
2365,F,0.63,0.505,0.165,1.065,0.4595,0.216,0.315,12
1274,I,0.475,0.36,0.11,0.492,0.211,0.11,0.15,8
1572,I,0.48,0.37,0.125,0.474,0.179,0.1035,0.175,9
728,M,0.505,0.4,0.125,0.77,0.2735,0.159,0.255,13
649,F,0.475,0.36,0.125,0.447,0.1695,0.081,0.14,9
2908,F,0.58,0.45,0.17,0.9705,0.4615,0.232,0.248,9
3649,I,0.515,0.405,0.13,0.573,0.213,0.134,0.195,9
1685,I,0.62,0.45,0.135,0.924,0.358,0.2265,0.2965,10
2740,I,0.455,0.34,0.115,0.486,0.261,0.0655,0.1315,8
1727,M,0.66,0.53,0.195,1.5505,0.6505,0.3295,0.495,10
3288,F,0.605,0.475,0.145,1.0185,0.4695,0.225,0.27,15
1680,M,0.62,0.515,0.175,1.221,0.535,0.241,0.395,13
4132,I,0.585,0.47,0.17,0.985,0.3695,0.2395,0.315,10
1299,I,0.53,0.415,0.11,0.5745,0.2525,0.1235,0.189,9
1623,F,0.565,0.44,0.15,0.863,0.435,0.149,0.27,9
1782,M,0.525,0.365,0.17,0.9605,0.438,0.2225,0.276,10
3560,M,0.57,0.47,0.155,1.186,0.6355,0.2315,0.277,10
3508,F,0.64,0.475,0.175,1.1545,0.4865,0.341,0.288,9
589,F,0.405,0.31,0.12,0.3095,0.138,0.058,0.095,13
1400,F,0.65,0.59,0.22,1.662,0.77,0.378,0.435,11
719,I,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,2
3458,F,0.61,0.47,0.16,1.0745,0.4925,0.236,0.29,8
2902,I,0.56,0.435,0.13,0.777,0.354,0.173,0.222,9
2915,I,0.59,0.475,0.145,0.9745,0.4675,0.207,0.259,10
1163,M,0.61,0.47,0.165,1.052,0.498,0.242,0.267,9
838,F,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,8
3454,F,0.575,0.46,0.165,1.065,0.4985,0.2145,0.2815,8
1524,F,0.7,0.55,0.17,1.684,0.7535,0.3265,0.32,11
1789,F,0.545,0.385,0.15,1.1185,0.5425,0.2445,0.2845,9
3057,M,0.615,0.49,0.17,1.145,0.4915,0.208,0.343,13
1935,M,0.62,0.485,0.155,1.0295,0.425,0.2315,0.335,12
3213,F,0.555,0.42,0.14,0.868,0.33,0.243,0.21,13
713,M,0.355,0.265,0.085,0.201,0.069,0.053,0.0695,8
694,I,0.165,0.11,0.02,0.019,0.0065,0.0025,0.005,4
2452,M,0.395,0.305,0.105,0.282,0.0975,0.065,0.096,9
2952,F,0.645,0.485,0.15,1.151,0.5935,0.2315,0.293,12
907,I,0.33,0.265,0.085,0.196,0.0775,0.0305,0.0445,6
2258,M,0.43,0.335,0.115,0.406,0.166,0.0935,0.135,8
2196,I,0.37,0.28,0.09,0.233,0.0905,0.0545,0.07,11
631,F,0.43,0.34,0.12,0.391,0.1555,0.095,0.1405,7
2393,I,0.3,0.22,0.09,0.1425,0.057,0.0335,0.043,7
1841,I,0.435,0.335,0.1,0.3245,0.135,0.0785,0.098,7
3577,M,0.6,0.475,0.23,1.157,0.522,0.2235,0.36,11
876,M,0.635,0.51,0.17,1.3555,0.619,0.305,0.39,9
3971,I,0.4,0.295,0.095,0.252,0.1105,0.0575,0.066,6
1845,I,0.445,0.33,0.11,0.358,0.1525,0.067,0.1185,8
2116,I,0.31,0.225,0.05,0.1445,0.0675,0.0385,0.045,6
409,M,0.57,0.44,0.095,0.827,0.3395,0.2215,0.235,8
3995,I,0.245,0.175,0.055,0.0785,0.04,0.018,0.02,5
3062,F,0.635,0.505,0.165,1.251,0.577,0.227,0.3825,11
643,M,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,7
