,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class,leafDecisionNode,leafParentNode,classPrediction,success,treeID
2,29.0,8000.0,32000.0,32.0,8.0,32.0,220,1,0,259.7307692307692,1578.5340236686386,1
3,29.0,8000.0,32000.0,32.0,8.0,32.0,172,1,0,259.7307692307692,7696.687869822485,1
6,23.0,16000.0,32000.0,64.0,16.0,32.0,367,1,0,259.7307692307692,11506.687869822486,1
7,23.0,16000.0,32000.0,64.0,16.0,32.0,489,1,0,259.7307692307692,52564.380177514795,1
9,23.0,32000.0,64000.0,128.0,32.0,64.0,1144,1,0,259.7307692307692,781932.072485207,1
11,400.0,512.0,3500.0,4.0,1.0,6.0,40,40,25,25.13043478260869,221.10396975425354,1
12,60.0,2000.0,8000.0,65.0,1.0,8.0,92,1,0,259.7307692307692,28133.61094674556,1
15,200.0,512.0,16000.0,0.0,4.0,32.0,35,39,24,59.5,600.25,1
17,143.0,512.0,5000.0,0.0,7.0,32.0,28,38,24,83.0,3025.0,1
18,143.0,1000.0,2000.0,0.0,5.0,16.0,31,38,24,83.0,2704.0,1
21,143.0,3100.0,6200.0,0.0,5.0,20.0,33,6,2,113.25,6440.0625,1
28,320.0,512.0,5000.0,4.0,1.0,5.0,77,40,25,25.13043478260869,2690.4517958412107,1
31,25.0,1310.0,2620.0,131.0,12.0,24.0,368,1,0,259.7307692307692,11722.226331360947,1
32,50.0,2620.0,10480.0,30.0,12.0,24.0,32,1,0,259.7307692307692,51861.303254437866,1
34,56.0,5240.0,20970.0,30.0,12.0,24.0,106,1,0,259.7307692307692,23633.14940828402,1
37,50.0,1000.0,4000.0,8.0,1.0,5.0,29,36,23,38.61111111111112,92.37345679012365,1
40,50.0,1000.0,8000.0,8.0,3.0,5.0,36,39,24,59.5,552.25,1
47,810.0,1000.0,5000.0,0.0,1.0,1.0,20,40,25,25.13043478260869,26.32136105860106,1
50,700.0,384.0,8000.0,0.0,1.0,1.0,24,40,25,25.13043478260869,1.2778827977315523,1
51,700.0,256.0,2000.0,0.0,1.0,1.0,24,40,25,25.13043478260869,1.2778827977315523,1
52,140.0,1000.0,16000.0,16.0,1.0,3.0,138,37,23,59.25,6201.5625,1
54,110.0,1000.0,4000.0,16.0,1.0,2.0,26,36,23,38.61111111111112,159.04012345679038,1
56,220.0,1000.0,8000.0,16.0,1.0,2.0,71,37,23,59.25,138.0625,1
57,800.0,256.0,8000.0,0.0,1.0,4.0,12,40,25,25.13043478260869,172.40831758034008,1
59,800.0,256.0,8000.0,0.0,1.0,4.0,20,40,25,25.13043478260869,26.32136105860106,1
60,800.0,256.0,8000.0,0.0,1.0,4.0,16,40,25,25.13043478260869,83.36483931947056,1
61,800.0,256.0,8000.0,0.0,1.0,4.0,22,40,25,25.13043478260869,9.799621928166305,1
62,125.0,512.0,1000.0,0.0,8.0,20.0,36,38,24,83.0,2209.0,1
64,75.0,2000.0,16000.0,64.0,1.0,38.0,144,1,0,259.7307692307692,13393.61094674556,1
66,90.0,256.0,1000.0,0.0,3.0,10.0,17,38,24,83.0,4356.0,1
69,105.0,2000.0,4000.0,8.0,3.0,19.0,32,6,2,113.25,6601.5625,1
70,75.0,2000.0,8000.0,8.0,3.0,24.0,62,6,2,113.25,2626.5625,1
74,300.0,768.0,3000.0,6.0,6.0,24.0,44,41,26,43.0,1.0,1
82,300.0,1000.0,16000.0,8.0,2.0,112.0,38,42,26,58.333333333333336,413.4444444444445,1
85,140.0,2000.0,4000.0,0.0,3.0,6.0,29,6,2,113.25,7098.0625,1
92,140.0,2000.0,4000.0,8.0,1.0,20.0,22,6,2,113.25,8326.5625,1
94,57.0,4000.0,24000.0,64.0,12.0,16.0,237,1,0,259.7307692307692,516.687869822485,1
96,26.0,16000.0,32000.0,64.0,8.0,24.0,465,1,0,259.7307692307692,42135.45710059172,1
98,26.0,8000.0,16000.0,0.0,8.0,16.0,185,6,2,113.25,5148.0625,1
99,480.0,96.0,512.0,0.0,1.0,1.0,6,40,25,25.13043478260869,365.9735349716443,1
100,203.0,1000.0,2000.0,0.0,1.0,5.0,24,36,23,38.61111111111112,213.48456790123487,1
101,115.0,512.0,6000.0,16.0,1.0,6.0,45,37,23,59.25,203.0625,1
105,400.0,2000.0,4000.0,0.0,1.0,1.0,32,6,2,113.25,6601.5625,1
110,900.0,1000.0,4000.0,8.0,1.0,2.0,22,40,25,25.13043478260869,9.799621928166305,1
115,185.0,2000.0,16000.0,16.0,1.0,6.0,76,6,2,113.25,1387.5625,1
116,180.0,2000.0,16000.0,16.0,1.0,6.0,66,6,2,113.25,2232.5625,1
118,25.0,2000.0,12000.0,8.0,1.0,4.0,49,6,2,113.25,4128.0625,1
119,25.0,2000.0,12000.0,16.0,3.0,5.0,66,6,2,113.25,2232.5625,1
125,50.0,2000.0,4000.0,0.0,3.0,6.0,27,6,2,113.25,7439.0625,1
