,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,Class
416,1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,1,republican
351,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,republican
356,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
295,-1,1,-1,1,1,1,0,0,-1,1,-1,1,0,0,0,0,republican
303,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
0,-1,1,-1,1,1,1,-1,-1,-1,1,0,1,1,1,-1,1,republican
171,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
18,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,0,1,1,-1,-1,republican
223,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
141,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,0,1,republican
11,-1,1,-1,1,1,1,-1,-1,-1,-1,1,0,1,1,0,0,republican
251,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
148,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,republican
393,0,0,0,0,-1,1,-1,1,1,-1,-1,1,1,-1,-1,0,republican
37,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,republican
211,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
313,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
343,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,1,-1,1,republican
306,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
51,-1,1,-1,1,1,1,-1,0,-1,-1,-1,1,1,1,-1,1,republican
126,-1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
346,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
53,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
308,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
142,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,republican
305,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
120,-1,0,0,1,1,1,-1,-1,-1,1,-1,1,1,1,0,1,republican
315,-1,1,1,1,1,1,1,0,-1,-1,-1,-1,0,0,1,0,republican
276,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,republican
123,1,0,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,1,republican
302,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,1,republican
378,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
233,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
392,1,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1,republican
384,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1,democrat
371,1,1,1,-1,0,-1,1,1,1,1,-1,-1,-1,-1,1,0,democrat
198,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,0,-1,1,0,democrat
408,1,-1,1,-1,-1,1,1,1,1,-1,-1,1,0,1,1,1,democrat
91,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,democrat
159,-1,1,1,-1,0,1,1,1,1,1,1,-1,-1,0,-1,0,democrat
243,-1,1,1,-1,-1,-1,1,1,0,1,-1,-1,1,-1,1,1,democrat
32,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1,democrat
290,1,-1,1,-1,0,1,0,1,1,1,-1,-1,1,1,-1,1,democrat
429,1,-1,1,-1,0,-1,1,1,1,1,-1,1,-1,0,1,1,democrat
78,1,1,1,-1,1,1,-1,-1,-1,1,1,-1,1,1,-1,1,democrat
24,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,democrat
