,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,Class
113,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
140,-1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,republican
434,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,0,-1,republican
33,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
176,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1,republican
353,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,1,republican
267,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,1,republican
257,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,0,1,republican
49,-1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
8,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
327,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
247,-1,1,-1,1,1,1,0,-1,-1,-1,-1,0,1,1,-1,-1,republican
401,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,republican
300,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,1,1,-1,1,republican
154,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
229,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,-1,1,republican
58,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
134,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,0,republican
345,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,-1,1,1,1,republican
266,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,republican
405,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
150,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
224,-1,1,-1,1,1,1,-1,-1,-1,1,-1,0,1,1,-1,-1,republican
250,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
242,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,0,-1,1,1,1,republican
195,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,0,republican
279,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
304,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,0,republican
330,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
256,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,republican
146,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
136,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,republican
214,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
36,1,0,-1,1,1,1,-1,-1,-1,1,-1,1,0,1,-1,1,republican
248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,republican
412,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
404,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
413,1,1,1,1,1,1,1,1,-1,1,0,0,0,1,-1,1,republican
430,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,republican
433,-1,-1,-1,1,1,1,0,0,0,0,-1,1,1,1,-1,1,republican
56,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,republican
369,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,republican
335,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,0,republican
191,-1,1,-1,1,1,1,-1,0,-1,1,-1,1,1,1,-1,0,republican
253,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
28,1,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,1,republican
239,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,republican
73,1,-1,1,1,1,-1,1,-1,1,1,-1,-1,1,1,-1,1,republican
158,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
190,-1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,0,republican
357,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
99,-1,-1,-1,1,1,1,-1,-1,-1,1,0,1,1,1,-1,-1,republican
30,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
349,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,-1,1,republican
277,-1,-1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,1,republican
206,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,republican
107,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,republican
197,-1,0,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,republican
132,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,0,republican
379,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
117,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,republican
231,-1,1,-1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,republican
10,-1,1,-1,1,1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,republican
35,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
15,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,0,-1,0,republican
420,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,1,republican
166,1,-1,1,1,1,1,1,1,-1,1,-1,1,-1,1,1,1,republican
325,-1,1,-1,-1,1,1,-1,-1,0,-1,-1,1,1,1,-1,1,democrat
42,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,democrat
395,1,1,1,0,-1,-1,-1,1,-1,-1,1,0,-1,-1,1,1,democrat
318,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,democrat
93,1,-1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,1,1,democrat
249,1,-1,1,-1,-1,-1,1,1,0,-1,1,-1,-1,-1,1,1,democrat
76,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,0,democrat
348,1,-1,1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,1,0,democrat
383,1,1,1,-1,1,1,-1,1,1,1,1,-1,-1,-1,-1,1,democrat
322,1,1,1,-1,0,1,-1,0,-1,-1,1,-1,1,1,-1,0,democrat
116,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,democrat
45,1,1,1,-1,-1,-1,1,1,0,-1,1,-1,-1,-1,1,0,democrat
47,1,-1,1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,0,democrat
139,1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat
428,0,0,0,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1,democrat
272,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,0,democrat
75,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,democrat
397,1,1,-1,-1,1,0,-1,-1,-1,-1,1,-1,1,1,-1,1,democrat
361,1,-1,1,-1,1,1,1,-1,1,1,-1,-1,1,1,-1,0,democrat
424,-1,1,1,-1,-1,0,1,1,1,1,1,-1,0,1,1,1,democrat
254,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,democrat
130,1,0,1,-1,0,0,1,1,1,-1,-1,-1,-1,-1,1,0,democrat
194,-1,-1,1,-1,-1,1,1,0,1,1,1,-1,-1,-1,1,1,democrat
114,1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,democrat
285,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,democrat
423,-1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1,1,1,democrat
245,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,democrat
332,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,0,democrat
96,-1,-1,0,-1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1,democrat
370,1,1,1,-1,0,1,1,1,-1,1,0,0,-1,-1,1,1,democrat
5,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,democrat
128,-1,0,1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,1,1,democrat
60,1,1,1,-1,-1,0,1,1,1,1,-1,-1,-1,-1,1,0,democrat
2,0,1,1,0,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,democrat
17,1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,democrat
90,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,democrat
258,-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,democrat
21,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,0,0,1,1,democrat
20,1,1,1,-1,-1,0,1,1,-1,-1,1,-1,-1,-1,1,1,democrat
234,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,0,democrat
367,1,1,1,-1,1,1,1,1,-1,1,1,-1,-1,-1,1,0,democrat
319,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,democrat
31,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,0,democrat
344,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,democrat
185,1,-1,1,-1,-1,-1,1,1,1,1,-1,0,-1,-1,1,1,democrat
301,-1,-1,0,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat
44,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,0,democrat
26,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,democrat
385,1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,-1,democrat
280,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,1,democrat
203,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,democrat
165,-1,1,1,-1,-1,1,1,1,1,1,1,-1,1,-1,1,0,democrat
74,1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,democrat
100,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,democrat
