,testID,currentParameterID,nearestNeighbors,expectedValue,actualValue,correctAssignment
178,0,13,"[87, 176, 171, 54, 100]",28.996242551104224,38,False
139,0,13,"[176, 160, 85, 171, 158]",24.39838444097238,40,False
137,0,13,"[82, 62, 72, 75, 89]",42.44317251283085,30,False
21,0,13,"[86, 69, 70, 85, 87]",39.60050623159516,33,False
27,0,13,"[29, 26, 10, 202, 176]",29.200427945741286,27,True
177,0,13,"[66, 176, 85, 100, 158]",22.400228289826885,32,False
124,0,13,"[51, 107, 46, 110, 59]",19.001457806479845,20,True
67,0,13,"[66, 158, 72, 85, 86]",24.011100567712212,26,True
40,0,13,"[131, 133, 132, 44, 41]",37.21169185276369,36,True
179,0,13,"[56, 101, 138, 132, 54]",43.586175128629996,60,False
109,0,13,"[110, 107, 46, 59, 58]",16.99863367950124,18,True
140,0,13,"[141, 132, 138, 133, 128]",47.59679446694311,62,False
161,0,13,"[160, 131, 163, 53, 138]",33.01754969888891,24,False
57,0,13,"[59, 58, 60, 51, 110]",19.210895820632896,12,False
80,0,13,"[10, 171, 100, 26, 29]",30.397651681983504,16,False
61,0,13,"[59, 58, 60, 51, 110]",19.210895820632896,22,True
114,0,13,"[138, 53, 56, 160, 113]",42.39482031558836,50,False
126,0,13,"[42, 43, 41, 131, 113]",40.39741662492426,45,False
116,0,13,"[115, 128, 143, 42, 43]",64.78205266293396,66,True
108,0,13,"[107, 46, 110, 51, 59]",19.007056893605792,11,False
178,0,13,"[92, 16, 203, 201, 45]",29.601327665615205,38,False
139,0,13,"[142, 183, 157, 159, 125]",24.799128211911825,40,False
137,0,13,"[22, 23, 17, 81, 18]",46.784439265496424,30,False
21,0,13,"[18, 184, 206, 92, 185]",39.20188454829186,33,False
27,0,13,"[25, 28, 83, 48, 14]",42.391781448671466,27,False
177,0,13,"[16, 117, 203, 201, 174]",25.601327116185985,32,False
124,0,13,"[104, 50, 111, 103, 102]",19.398873712745587,20,True
67,0,13,"[157, 183, 18, 16, 39]",21.20071310623299,26,False
40,0,13,"[39, 38, 127, 37, 45]",50.803496865897934,36,False
179,0,13,"[45, 180, 49, 204, 206]",67.39632214009869,60,False
109,0,13,"[111, 103, 102, 50, 104]",19.39433984541896,18,True
140,0,13,"[205, 180, 142, 127, 38]",66.40039105584067,62,False
161,0,13,"[127, 38, 142, 162, 204]",50.597439715136154,24,False
57,0,13,"[50, 111, 104, 102, 103]",19.39235797695199,12,False
80,0,13,"[83, 25, 28, 14, 11]",42.40093605178763,16,False
61,0,13,"[50, 111, 104, 102, 103]",19.39235797695199,22,True
114,0,13,"[142, 49, 127, 38, 204]",56.19935473451835,50,False
126,0,13,"[127, 38, 125, 142, 39]",45.995616364603194,45,True
116,0,13,"[52, 129, 175, 55, 118]",75.38123102999312,66,False
108,0,13,"[111, 102, 103, 50, 104]",19.399763662297413,11,False
178,0,13,"[87, 37, 171, 159, 201]",24.994209403338328,38,False
139,0,13,"[159, 37, 171, 158, 201]",20.398220597967306,40,False
137,0,13,"[81, 62, 20, 73, 89]",41.22079342962094,30,False
21,0,13,"[20, 184, 70, 206, 87]",42.40958086638327,33,False
27,0,13,"[29, 83, 11, 10, 181]",25.399451615875282,27,True
177,0,13,"[117, 100, 158, 113, 112]",26.803442314322805,32,False
124,0,13,"[47, 46, 107, 110, 208]",23.211686392164555,20,False
67,0,13,"[158, 117, 72, 100, 159]",19.801424997665855,26,False
40,0,13,"[45, 132, 37, 204, 117]",38.5897177802485,36,True
179,0,13,"[45, 204, 56, 206, 138]",57.39795357317171,60,True
109,0,13,"[110, 107, 47, 46, 60]",17.39750140256557,18,True
140,0,13,"[138, 132, 128, 204, 56]",51.819053685060084,62,False
161,0,13,"[204, 206, 159, 138, 37]",37.99534432614001,24,False
57,0,13,"[60, 59, 47, 110, 46]",19.203221141519155,12,False
80,0,13,"[83, 10, 171, 100, 117]",26.400538342944916,16,False
61,0,13,"[60, 59, 47, 110, 46]",19.203221141519155,22,True
114,0,13,"[138, 204, 56, 113, 112]",47.39417649276129,50,True
126,0,13,"[43, 45, 113, 112, 132]",46.3962309864315,45,True
116,0,13,"[115, 128, 143, 43, 55]",66.38443208692162,66,True
108,0,13,"[107, 46, 110, 47, 60]",17.403890962355327,11,False
178,0,13,"[92, 176, 16, 49, 200]",29.001129411679813,38,False
139,0,13,"[85, 142, 183, 176, 157]",27.799168518241473,40,False
137,0,13,"[22, 82, 23, 17, 18]",46.788080390378724,30,False
21,0,13,"[18, 86, 69, 92, 85]",30.799187952392646,33,True
27,0,13,"[25, 28, 26, 48, 14]",45.792088643599826,27,False
177,0,13,"[176, 16, 66, 85, 174]",29.002192635448285,32,True
124,0,13,"[58, 104, 50, 111, 103]",20.80265714383847,20,True
67,0,13,"[66, 157, 18, 183, 16]",19.401185667415845,26,False
40,0,13,"[38, 127, 131, 133, 125]",40.396792365470304,36,False
179,0,13,"[180, 49, 101, 185, 44]",69.19772655918588,60,False
109,0,13,"[111, 58, 103, 102, 50]",18.995751326902553,18,True
