,testID,nearestNeighbors,expectedValue,actualValue,correctAssignment
4,1,"[190, 98, 189, 186, 1]",189.0271946991646,132,False
81,1,"[22, 74, 78, 84, 77]",43.19175752493305,38,False
10,1,"[208, 25, 14, 84, 28]",44.600515683130034,38,False
11,1,"[28, 29, 25, 14, 48]",44.59231929877756,40,True
86,1,"[183, 112, 18, 69, 117]",29.802044014469917,40,False
52,1,"[115, 128, 129, 138, 175]",65.19425252707231,138,False
87,1,"[69, 183, 70, 142, 45]",47.616199288014116,35,False
176,1,"[203, 201, 200, 100, 157]",15.79883132073007,30,False
171,1,"[100, 203, 201, 200, 117]",19.000561856006335,30,False
26,1,"[29, 24, 28, 48, 25]",47.20840632866233,33,False
23,1,"[22, 17, 89, 184, 70]",49.983830912311134,76,False
125,1,"[39, 183, 127, 38, 142]",45.01200838525426,27,False
32,1,"[33, 165, 166, 34, 188]",89.84566031166553,32,False
68,1,"[69, 70, 18, 66, 183]",32.79744892385722,32,True
105,1,"[106, 208, 84, 28, 25]",49.006943962505154,32,False
35,1,"[34, 154, 33, 94, 189]",161.67828146615375,208,False
59,1,"[46, 107, 111, 104, 102]",17.794727641634545,20,True
47,1,"[46, 107, 111, 104, 103]",19.000112650839213,20,True
85,1,"[183, 112, 117, 69, 142]",33.605485303340835,29,True
56,1,"[138, 101, 181, 48, 100]",32.9966643788162,71,False
132,1,"[133, 205, 141, 101, 138]",46.607180485472796,26,False
54,1,"[101, 138, 157, 36, 39]",29.79322555078233,26,True
53,1,"[203, 201, 100, 204, 200]",22.600036121010636,36,False
73,1,"[74, 78, 84, 18, 17]",32.18250018359664,36,True
206,1,"[204, 142, 45, 185, 69]",50.797061136384265,52,True
43,1,"[42, 41, 128, 129, 118]",58.21274719976923,60,True
55,1,"[138, 101, 118, 133, 204]",43.59755199990279,60,False
44,1,"[45, 204, 133, 185, 183]",45.178357125832825,72,False
123,1,"[103, 102, 107, 46, 111]",17.230392745552667,18,True
202,1,"[200, 203, 201, 100, 181]",15.397474662444516,18,True
49,1,"[204, 203, 201, 48, 200]",25.79829543939652,62,False
51,1,"[104, 46, 107, 208, 111]",25.42337139478697,24,True
50,1,"[104, 46, 208, 107, 207]",31.42528748577503,24,False
158,1,"[157, 36, 100, 66, 204]",22.206816766934434,12,False
122,1,"[103, 102, 107, 46, 111]",17.23201277454731,12,False
58,1,"[46, 107, 111, 104, 102]",17.794727641634545,14,True
131,1,"[204, 142, 133, 45, 205]",48.40269344980856,16,False
83,1,"[25, 14, 84, 28, 29]",40.99248964740187,16,False
92,1,"[69, 183, 70, 142, 45]",47.616199288014116,22,False
110,1,"[107, 111, 46, 103, 102]",17.192724669609532,22,True
63,1,"[64, 12, 89, 172, 141]",80.51894415347894,144,False
159,1,"[39, 36, 157, 204, 127]",30.406641029239577,17,False
75,1,"[74, 77, 78, 79, 15]",50.409335870238976,50,True
174,1,"[117, 84, 112, 203, 201]",24.199618391967064,50,False
134,1,"[42, 41, 135, 136, 128]",56.206747142541374,45,False
76,1,"[24, 77, 74, 28, 29]",44.8019217692201,45,True
143,1,"[144, 128, 129, 115, 42]",72.7908620891732,66,False
119,1,"[118, 41, 42, 38, 127]",53.60573743426558,66,False
95,1,"[6, 7, 96, 191, 8]",441.033164336941,465,False
97,1,"[1, 2, 3, 152, 155]",271.46986746102476,277,False
