,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
0,M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15
3,M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10
7,F,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16
8,M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9
9,F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19
11,M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10
13,F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10
17,F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10
18,M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7
23,F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9
24,F,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10
27,M,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12
31,F,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15
32,M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18
33,F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19
34,F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13
38,F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11
48,I,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6
50,I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8
51,M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7
53,F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10
55,F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8
57,M,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8
60,M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7
61,M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9
62,F,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10
63,M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7
65,M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8
